SampleID_technical_duplicates	NPOC_umol_L-1	Sample_ID	original_sample_name	time	condition	coreid
MGC2000326_DOC_PS121_43_06_MC_Rep_1	80.80171602	MGC2000326	Ice_core_#3_T5_DOM	49h	IceMelt	3
MGC2000326_DOC_PS121_43_06_MC_Rep_2	89.80168847	MGC2000326	Ice_core_#3_T5_DOM	49h	IceMelt	3
MGC2000327_DOC_PS121_43_06_MC_Rep_1	81.38954723	MGC2000327	control_#1_T5_DOM	49h	Ctr	1
MGC2000327_DOC_PS121_43_06_MC_Rep_2	85.35792411	MGC2000327	control_#1_T5_DOM	49h	Ctr	1
MGC2000328_DOC_PS121_43_06_MC_Rep_1	76.4582965	MGC2000328	control_#2_T5_DOM	49h	Ctr	2
MGC2000328_DOC_PS121_43_06_MC_Rep_2	81.30256075	MGC2000328	control_#2_T5_DOM	49h	Ctr	2
MGC2000329_DOC_PS121_43_06_MC_Rep_1	86.97394375	MGC2000329	control_#3_T5_DOM	49h	Ctr	3
MGC2000329_DOC_PS121_43_06_MC_Rep_2	99.67164325	MGC2000329	control_#3_T5_DOM	49h	Ctr	3
MGC2000330_DOC_PS121_43_06_MC_Rep_1	110.084419	MGC2000330	ice_core_reference_#1_DOM_N5	0h	IceMelt	1
MGC2000330_DOC_PS121_43_06_MC_Rep_2	122.747232	MGC2000330	ice_core_reference_#1_DOM_N5	0h	IceMelt	1
MGC2000331_DOC_PS121_43_06_MC_Rep_1	109.6489885	MGC2000331	ice_core_reference_#2_DOM_N5	0h	IceMelt	2
MGC2000331_DOC_PS121_43_06_MC_Rep_2	118.4062796	MGC2000331	ice_core_reference_#2_DOM_N5	0h	IceMelt	2
MGC2000332_DOC_PS121_43_06_MC_Rep_1	78.85316441	MGC2000332	seawater_reference_#1_DOM_N5	0h	Ctr	1
MGC2000332_DOC_PS121_43_06_MC_Rep_2	73.3631874	MGC2000332	seawater_reference_#1_DOM_N5	0h	Ctr	1
MGC2000333_DOC_PS121_43_06_MC_Rep_1	79.0926512	MGC2000333	seawater_reference_#2_DOM_N5	0h	Ctr	2
MGC2000333_DOC_PS121_43_06_MC_Rep_2	90.30432506	MGC2000333	seawater_reference_#2_DOM_N5	0h	Ctr	2
