ID	compound	source	formula
12419	31185	KEGG COMPOUND	C44H50N4O2.2Cl
12423	31187	KEGG COMPOUND	C16H23ClN2O2.HCl
12424	31188	KEGG COMPOUND	C12H20O2
12425	31189	KEGG COMPOUND	C21H32O
12429	31193	KEGG COMPOUND	C14H11AlN2O8.Ca
12430	31194	KEGG COMPOUND	C20H21AlCl2O7
12431	33130	KEGG COMPOUND	H3AlO3
12432	31196	KEGG COMPOUND	C9H15AlO9
12433	31197	KEGG COMPOUND	C18H37AlO4
12434	2619	KEGG COMPOUND	C10H17N.HCl
12435	31198	KEGG COMPOUND	C13H18Br2N2O.HCl
12437	31200	KEGG COMPOUND	C26H35FO6
12442	31203	KEGG COMPOUND	C6H14NO8P
12444	2664	KEGG COMPOUND	C25H29I2NO3.HCl
12445	2667	KEGG COMPOUND	C20H23N.HCl
12447	31206	KEGG COMPOUND	Cl.H4N
12449	31207	KEGG COMPOUND	C35H46N6O8S
12450	31208	KEGG COMPOUND	C18H24N2O5S.HCl
12453	31211	KEGG COMPOUND	C15H17N3
12454	31212	KEGG COMPOUND	C27H33NO4
12455	31213	KEGG COMPOUND	C26H31NO4
12457	31215	KEGG COMPOUND	C23H30O5
12458	31216	KEGG COMPOUND	C57H61O34
12459	31217	KEGG COMPOUND	C60H63O37
12460	31218	KEGG COMPOUND	C64H67O42
12461	31219	KEGG COMPOUND	C58H59O36
12462	31220	KEGG COMPOUND	C64H67O41
12463	31221	KEGG COMPOUND	C10H8OS3
12464	31222	KEGG COMPOUND	C16H11NO3
12465	47943	KEGG COMPOUND	C12H13NO3
12468	31226	KEGG COMPOUND	C22H22ClN5O2S
12469	31227	KEGG COMPOUND	C27H30O14
12472	31229	KEGG COMPOUND	C22H30N2.HCl
12473	31230	KEGG COMPOUND	C25H26O10
12474	31231	KEGG COMPOUND	C28H41NO3
12475	31232	KEGG COMPOUND	C19H20N2O7
12477	31234	KEGG COMPOUND	C6H14N4O2.C5H9NO4
12478	31235	KEGG COMPOUND	C6H14N4O2.HCl
12480	31237	KEGG COMPOUND	C22H25N3O4
12481	31238	KEGG COMPOUND	C20H14O7
12482	31239	KEGG COMPOUND	C15H21N3O2S3.HCl
12484	31240	KEGG COMPOUND	C21H27N5O7S
12485	31241	KEGG COMPOUND	C17H17NO2
12486	31242	KEGG COMPOUND	C17H35N5O6.2H2O4S
12488	31244	KEGG COMPOUND	C21H18O8
12489	31245	KEGG COMPOUND	C21H16O8
12490	31246	KEGG COMPOUND	C17H20ClN3O3.HCl
12492	31247	KEGG COMPOUND	C33H34N4O6
12495	31249	KEGG COMPOUND	C10H8
12496	2964	KEGG COMPOUND	C18H29N3O5S.HCl.H2O
12497	2969	KEGG COMPOUND	C21H27N3O7S.HCl
12498	31250	KEGG COMPOUND	C37H51N10O15R
12500	31251	KEGG COMPOUND	2C12H20NO2.O4S
12501	31252	KEGG COMPOUND	C8H12N2O3
12502	31253	KEGG COMPOUND	C27H29N3O6.HCl
12503	31254	KEGG COMPOUND	C16H22NO4.Cl
12506	31256	KEGG COMPOUND	C19H31NO.C4H4O4
12508	31258	KEGG COMPOUND	C23H27N3O4.HCl
12516	31266	KEGG COMPOUND	C19H23N3O.HCl
12519	31269	KEGG COMPOUND	C14H14ClN3O4S2
12522	31271	KEGG COMPOUND	C20H18NO4.Cl
12523	31272	KEGG COMPOUND	C23H28O7
12525	31274	KEGG COMPOUND	C8H12N2.2CH4O3S
12529	31278	KEGG COMPOUND	C10H11NO3
12535	31283	KEGG COMPOUND	C22H28NO3.CH3O4S
12537	31285	KEGG COMPOUND	C18H24NO.Cl
12541	31288	KEGG COMPOUND	C38H42N8O6S2
12542	31289	KEGG COMPOUND	C40H58N4.2C2H3O2
12543	31290	KEGG COMPOUND	C32H46N8O6S2
12545	31292	KEGG COMPOUND	C7H5BiO6
12546	31293	KEGG COMPOUND	H2BiN3O9
12547	31294	KEGG COMPOUND	C24H19NO6
12548	33216	KEGG COMPOUND	C15H16O2
12550	31296	KEGG COMPOUND	C23H30FN3
12552	31298	KEGG COMPOUND	C23H28N2O3.C3H4O4
12553	33118	KEGG COMPOUND	BH3O3
12555	31301	KEGG COMPOUND	C19H28O2.C18H24O2
12556	31302	KEGG COMPOUND	C14H10BrN3O
12559	31305	KEGG COMPOUND	C21H23BrFNO2
12560	31306	KEGG COMPOUND	C3H6BrNO4
12561	31307	KEGG COMPOUND	C10H8BrN3O
12562	31308	KEGG COMPOUND	C15H10BrClN4S
12563	31309	KEGG COMPOUND	C21H25BrN2O3.C4H4O4
12565	31311	KEGG COMPOUND	C12H17NO3
12566	31312	KEGG COMPOUND	C7H13NO3S2
12567	31313	KEGG COMPOUND	C18H23N5O8P.Na
12568	31314	KEGG COMPOUND	C14H22N2O3
12569	31315	KEGG COMPOUND	C17H23NO4.HCl
12570	31316	KEGG COMPOUND	C18H29NO4.HCl
12572	31318	KEGG COMPOUND	C9H8O4.C2H4NO2.CO3.2HO.Al.Mg
12575	31320	KEGG COMPOUND	C19H27N5O3.HCl
12576	31321	KEGG COMPOUND	C14H21N2O2.Cl
12578	31323	KEGG COMPOUND	C14H22ClNO2.HCl
12580	3220	KEGG COMPOUND	C13H18ClNO.HCl
12581	31324	KEGG COMPOUND	C60H86N16O13.C2H4O2
12584	31326	KEGG COMPOUND	C16H29NO5
12586	31328	KEGG COMPOUND	C6H12O2
12587	88542	KEGG COMPOUND	C11H14O3
12588	31331	KEGG COMPOUND	C12H21N5O3
12594	31337	KEGG COMPOUND	C4H5NO4.Ca
12595	31338	KEGG COMPOUND	Br2Ca
12596	31339	KEGG COMPOUND	2C18H33I2O2.Ca
12597	31340	KEGG COMPOUND	C20H21CaN7O7
12599	31342	KEGG COMPOUND	2ClO.Ca
12600	31343	KEGG COMPOUND	2C18H31O2.Ca
12601	31344	KEGG COMPOUND	CaO
12602	31345	KEGG COMPOUND	2C9H16NO5.Ca
12603	31346	KEGG COMPOUND	O4S.Ca
12605	3349	KEGG COMPOUND	C59H84N2O18
12606	31348	KEGG COMPOUND	C15H22FN3O6
12607	31349	KEGG COMPOUND	C10H12N4O3
12608	31350	KEGG COMPOUND	C10H11N4O5S.Na
12610	31351	KEGG COMPOUND	C34H48O7.2Na
12611	31352	KEGG COMPOUND	C20H31NO3.C6H8O7
12613	31354	KEGG COMPOUND	C20H28NO5.Cl
12615	31356	KEGG COMPOUND	C15H19N3O5
12616	31357	KEGG COMPOUND	C6H12O6.C2H4O2
12618	31358	KEGG COMPOUND	C26H25N2O6S.Na
12620	31360	KEGG COMPOUND	C11H16FN3O3
12621	31361	KEGG COMPOUND	C28H40N4O.C4H2O4
12624	31363	KEGG COMPOUND	C12H12N6O10S2.2Na
12625	31364	KEGG COMPOUND	C13H12N3O6S.Na
12628	31365	KEGG COMPOUND	C22H28N9O9S2.Na
12632	31369	KEGG COMPOUND	C20H25N5O7S2.HCl
12635	31372	KEGG COMPOUND	C20H18N6O7S4.2Na
12639	31375	KEGG COMPOUND	C17H18N5O6S2.Na
12641	31376	KEGG COMPOUND	C28H25N6O10S2.Na
12643	31378	KEGG COMPOUND	C22H22N6O5S2.H2O4S
12645	31380	KEGG COMPOUND	C22H19N4O8S2.Na
12646	31381	KEGG COMPOUND	C22H27N9O7S2
12647	31382	KEGG COMPOUND	C13H11N8O4S3.Na
12648	31383	KEGG COMPOUND	C19H16N5O7S3.Na
12650	31385	KEGG COMPOUND	C20H33N3O4.HCl
12651	31386	KEGG COMPOUND	(C32H32O18)n
12652	3562	KEGG COMPOUND	C21H25ClN2O3.2HCl
12656	31389	KEGG COMPOUND	C20H19NO5
12657	31390	KEGG COMPOUND	C22H20NO5
12658	31391	KEGG COMPOUND	C17H19NO3
12659	31392	KEGG COMPOUND	C17H20ClNO.HCl
12661	17322	KEGG COMPOUND	HClO3
12663	31393	KEGG COMPOUND	C22H30Cl2N10.2HCl
12664	29219	KEGG COMPOUND	HClO2
12665	31394	KEGG COMPOUND	C23H29ClO4
12666	31395	KEGG COMPOUND	C21H18ClNO6
12668	3649	KEGG COMPOUND	C17H19ClN2S.HCl
12669	31396	KEGG COMPOUND	C18H18N2.C4H6O4
12670	31397	KEGG COMPOUND	C32H44O7
12678	31404	KEGG COMPOUND	C6H8O7.H2O
12680	31406	KEGG COMPOUND	C11H20O2
12681	567361	KEGG COMPOUND	C10H12ClN5O3
12682	31408	KEGG COMPOUND	C20H25ClN3O2.C4H5O5
12683	31409	KEGG COMPOUND	C19H21ClN3.Cl
12685	31411	KEGG COMPOUND	C16H19ClO2
12687	31412	KEGG COMPOUND	C28H36O6
12690	31415	KEGG COMPOUND	C26H32ClFO5
12691	31416	KEGG COMPOUND	C14H22ClNO.HCl
12692	31417	KEGG COMPOUND	C28H39ClN4O.2Cl
12693	31418	KEGG COMPOUND	C6H7ClN2O4S2
12695	3758	KEGG COMPOUND	C9H9Cl2N3.HCl
12696	31419	KEGG COMPOUND	C20H24ClNO.C20H14O4
12697	31420	KEGG COMPOUND	C20H24ClNO.HCl
12699	31421	KEGG COMPOUND	C14H17ClN2O3S
12700	31422	KEGG COMPOUND	C11H16ClNO.HCl
12701	31423	KEGG COMPOUND	C22H24ClN3OS2.HCl
12702	31424	KEGG COMPOUND	C18H18ClN3S
12703	31425	KEGG COMPOUND	C16H15ClN2OS
12706	31428	KEGG COMPOUND	(C4H6N2.C3H5ClO)mon
12707	31429	KEGG COMPOUND	C27H43NO8.HCl
12710	31431	KEGG COMPOUND	2C6H11O7.Cu
12712	31433	KEGG COMPOUND	C27H21N3O10
12713	31434	KEGG COMPOUND	C43H49N3O18
12714	31435	KEGG COMPOUND	C17H14N2O7
12716	31436	KEGG COMPOUND	C17H19NO5
12717	31437	KEGG COMPOUND	C16H17NO3
12718	31438	KEGG COMPOUND	C33H36N2O12
12722	31442	KEGG COMPOUND	C24H23O14
12724	31444	KEGG COMPOUND	C15H23N3O4S
12727	31446	KEGG COMPOUND	C23H24O4
12728	31447	KEGG COMPOUND	C8H14O2
12730	31448	KEGG COMPOUND	C14H16ClN3O4S2
12731	31449	KEGG COMPOUND	C13H16N4O3S.HCl
12732	31450	KEGG COMPOUND	C24H25NO3
12735	32826	KEGG COMPOUND	C4H9NO3
12736	4221	KEGG COMPOUND	C5H12N2O2.HCl
12737	31453	KEGG COMPOUND	C11H17NO3.HCl
12738	31454	KEGG COMPOUND	C18H29N3O2
12740	31456	KEGG COMPOUND	C27H29NO10.HCl
12741	31457	KEGG COMPOUND	C10H20O
12742	31458	KEGG COMPOUND	C19H14O5
12743	31459	KEGG COMPOUND	C24H34O5
12745	31461	KEGG COMPOUND	C19H12O5
12746	31462	KEGG COMPOUND	C26H32N2O5.HCl
12747	31463	KEGG COMPOUND	C21H21O12
12749	31464	KEGG COMPOUND	C5H13O13P3
12750	31465	KEGG COMPOUND	C24H32O5
12751	31466	KEGG COMPOUND	C30H40N4.2Cl
12757	31470	KEGG COMPOUND	C25H33FO6
12758	31471	KEGG COMPOUND	C38H59FO6
12760	31473	KEGG COMPOUND	C21H27NO2.HCl
12761	31474	KEGG COMPOUND	C15H23N3OS.2HCl
12763	31476	KEGG COMPOUND	C18H21N3O.HCl
12764	31477	KEGG COMPOUND	C17H18N2S2
12765	33219	KEGG COMPOUND	C15H14Br2O2
12770	31480	KEGG COMPOUND	C21H27NO3.HCl
12771	31481	KEGG COMPOUND	C21H27NO.HCl
12772	31482	KEGG COMPOUND	C25H29NO2.HCl
12773	31483	KEGG COMPOUND	C26H32F2O7
12774	31484	KEGG COMPOUND	C27H36F2O5
12775	31485	KEGG COMPOUND	C27H34F2O7
12777	31487	KEGG COMPOUND	C32H43N5O5.CH4O3S
12779	31489	KEGG COMPOUND	C18H23NO3.H3O4P
12782	31491	KEGG COMPOUND	C16H14O6
12783	31492	KEGG COMPOUND	C6H15N.C2H2Cl2O2
12787	31495	KEGG COMPOUND	C20H21NO3.HCl
12788	31496	KEGG COMPOUND	C18H25N.H3O4P
12789	31497	KEGG COMPOUND	C20H26N2.C4H6O6
12791	31499	KEGG COMPOUND	C19H25N3O2S2.CH4O3S
12792	31500	KEGG COMPOUND	C20H24N2.C4H4O4
12793	31501	KEGG COMPOUND	C20H38N4O4
12794	31502	KEGG COMPOUND	C20H34O5.C4H11NO3
12795	31503	KEGG COMPOUND	C23H25NO4
12798	31506	KEGG COMPOUND	C23H25NO4
12801	31507	KEGG COMPOUND	C22H28NO2.I
12805	31510	KEGG COMPOUND	C20H38NO2.Br
12809	31513	KEGG COMPOUND	C21H30N2O8S
12810	31514	KEGG COMPOUND	C22H40NO.Br
12812	4696	KEGG COMPOUND	C24H29NO3.HCl
12813	4698	KEGG COMPOUND	C8H11NO2.HCl
12814	31516	KEGG COMPOUND	C50H74O14
12815	31517	KEGG COMPOUND	C8H13N3O6
12816	31518	KEGG COMPOUND	C15H24N4O6S2.H2O
12820	4711	KEGG COMPOUND	C19H21NO.HCl
12822	31522	KEGG COMPOUND	C27H29NO11.HCl
12825	31525	KEGG COMPOUND	C23H27NO8
12829	31528	KEGG COMPOUND	C32H39NO2
12830	31529	KEGG COMPOUND	C10H17NO3
12834	31531	KEGG COMPOUND	C19H16O5
12835	31532	KEGG COMPOUND	C34H38N3O7P.HCl
12839	31535	KEGG COMPOUND	C11H17N3O3
12840	31536	KEGG COMPOUND	C8H10FN3O3S
12841	31537	KEGG COMPOUND	C31H55N3O6
12842	31538	KEGG COMPOUND	C23H28O6
12843	28855	KEGG COMPOUND	C30H27N3O15
12845	31540	KEGG COMPOUND	C17H25NO.HCl
12846	31541	KEGG COMPOUND	C10H15NO.HCl
12847	31542	KEGG COMPOUND	C27H48O
12848	31543	KEGG COMPOUND	C16H19NO3
12849	31544	KEGG COMPOUND	C16H21NO3
12850	31545	KEGG COMPOUND	C11H14N4O2
12852	31546	KEGG COMPOUND	C19H30OS
12854	31548	KEGG COMPOUND	C20H31O5.Na
12858	31552	KEGG COMPOUND	C25H37NO3
12859	31553	KEGG COMPOUND	C15H21NO.HBr
12863	31557	KEGG COMPOUND	C30H21N4O5R
12864	31558	KEGG COMPOUND	C38H28N4O7
12866	31559	KEGG COMPOUND	C14H16O4S
12867	31560	KEGG COMPOUND	C24H32O4
12868	31561	KEGG COMPOUND	C23H32O3
12869	31562	KEGG COMPOUND	C23H30Cl2NO6P.2Na
12870	31563	KEGG COMPOUND	C6H6O5S.C4H11N
12872	31564	KEGG COMPOUND	C9H11NO2
12873	35702	KEGG COMPOUND	C4H10O
12874	31566	KEGG COMPOUND	C9H12ClN3O4S2
12875	31567	KEGG COMPOUND	C16H23NO2.C6H8O7
12877	31569	KEGG COMPOUND	C5H12NO2S.Cl
12878	31570	KEGG COMPOUND	C22H34O2
12881	31573	KEGG COMPOUND	C18H14ClFN2O3
12884	31576	KEGG COMPOUND	C16H22N2O3
12889	31580	KEGG COMPOUND	C24H32O4
12890	31581	KEGG COMPOUND	C17H19N.HCl
12891	31582	KEGG COMPOUND	C10H16NO2.Cl
12892	31583	KEGG COMPOUND	C17H15ClN4S
12893	31584	KEGG COMPOUND	C23H29N3O2
12895	31586	KEGG COMPOUND	C13H28N4O2
12896	31587	KEGG COMPOUND	C24H22FN3O4.CH4O3S.2H2O
12898	31589	KEGG COMPOUND	C14H13N3.HCl
12899	31590	KEGG COMPOUND	C27H38F6O3
12900	31591	KEGG COMPOUND	C12H14NO5S.Na
12901	31592	KEGG COMPOUND	C10H16N2O2
12902	31593	KEGG COMPOUND	C14H17N3O2S.HCl
12903	31594	KEGG COMPOUND	C2FeN2
12904	31595	KEGG COMPOUND	C3FeN3
12907	31598	KEGG COMPOUND	C16H16O2
12909	31600	KEGG COMPOUND	C11H16O
12912	31603	KEGG COMPOUND	C20H20N2O2
12915	5020	KEGG COMPOUND	C6FeN6
12916	5032	KEGG COMPOUND	C6FeN6
12917	31606	KEGG COMPOUND	2C6H10NO3.2H2O.Fe
12918	31607	KEGG COMPOUND	C4H2FeO4
12921	5051	KEGG COMPOUND	C32H39NO4.HCl
12922	31610	KEGG COMPOUND	C17H14N2S2
12923	31611	KEGG COMPOUND	C12H10FN3O4
12925	31612	KEGG COMPOUND	C20H17F3N2O4
12926	31613	KEGG COMPOUND	C15H17F2N6O7S2.Na
12927	31614	KEGG COMPOUND	C9H10O4
12932	42638	KEGG COMPOUND	C14H10F3NO2
12934	31621	KEGG COMPOUND	C26H26F2N2.2HCl
12941	5126	KEGG COMPOUND	C22H26F3N3OS.2HCl
12943	5129	KEGG COMPOUND	C21H23ClFN3O.2HCl
12944	31626	KEGG COMPOUND	C21H23ClFN3O.HCl
12945	31627	KEGG COMPOUND	C19H19FO4
12946	31628	KEGG COMPOUND	C19H18ClFN2O3
12947	31629	KEGG COMPOUND	C19H16ClFN2O
12949	31631	KEGG COMPOUND	C21H25ClN3O3.Cl
12951	31633	KEGG COMPOUND	2C19H24N2O4.C4H4O4
12952	31634	KEGG COMPOUND	C13H13F2N6O4P
12954	31636	KEGG COMPOUND	C19H16O7
12955	31637	KEGG COMPOUND	C6H13NO3S
12957	31639	KEGG COMPOUND	C35H58O12
12958	31640	KEGG COMPOUND	C20H30N2O2
12959	31641	KEGG COMPOUND	C16H24N3O4.CH3O3S
12961	31643	KEGG COMPOUND	C17H29N4O7.Gd
12964	31646	KEGG COMPOUND	C27H44O2
12965	31647	KEGG COMPOUND	C9H11F2N3O4.HCl
12966	31648	KEGG COMPOUND	C11H18O2
12968	31650	KEGG COMPOUND	C26H38O4
12969	28211	KEGG COMPOUND	C20H26O5
12970	31652	KEGG COMPOUND	C5H4ClNO2
12974	29166	KEGG COMPOUND	C20H29N7O12PR(C5H8O6PR)n
12976	31657	KEGG COMPOUND	C12H15N3O2S2
12977	31658	KEGG COMPOUND	C11H14ClN3O3S
12980	5521	KEGG COMPOUND	C55H75N17O13.HCl
12982	5538	KEGG COMPOUND	C18H24N4O.HCl
12984	5559	KEGG COMPOUND	C9H9Cl2N3O.HCl
12986	31661	KEGG COMPOUND	C17H37N7O3.3HCl
12988	17883	KEGG COMPOUND	HCl
12989	31662	KEGG COMPOUND	C17H19NO5
12990	31663	KEGG COMPOUND	C24H32ClFO5
12991	31664	KEGG COMPOUND	C31H41ClFNO3
12992	31665	KEGG COMPOUND	C25H29BrF2O7
12993	31666	KEGG COMPOUND	C17H14BrFN2O2
12994	31667	KEGG COMPOUND	C16H17NO4
12995	31668	KEGG COMPOUND	C28H31N3O6
12999	31670	KEGG COMPOUND	C22H32N2O6.H2O4S
13000	31671	KEGG COMPOUND	C19H24ClN2.Cl
13002	47266	KEGG COMPOUND	HBr
13004	31675	KEGG COMPOUND	C28H40O7
13005	31676	KEGG COMPOUND	C27H40O6
13006	31677	KEGG COMPOUND	C25H34O8
13009	31678	KEGG COMPOUND	(C36H44O18)n
13010	31679	KEGG COMPOUND	C20H13NO5
13013	31681	KEGG COMPOUND	C18H26NO3.Br
13014	31682	KEGG COMPOUND	C15H22N2O6
13016	31684	KEGG COMPOUND	C14H18N2O
13017	31685	KEGG COMPOUND	C19H23NO2
13018	31686	KEGG COMPOUND	C26H27NO9.HCl
13020	31688	KEGG COMPOUND	C21H28NO2.C4H5O6
13021	31689	KEGG COMPOUND	C17H14N2O6S
13023	31691	KEGG COMPOUND	C20H27N3O6.HCl
13024	31692	KEGG COMPOUND	C4H10NO6P
13025	5882	KEGG COMPOUND	C19H24N2.HCl
13027	31694	KEGG COMPOUND	C8H20NO6S2.C7H7O3S
13031	31698	KEGG COMPOUND	C34H40ClNO4
13032	31699	KEGG COMPOUND	C42H30N6O12
13033	31700	KEGG COMPOUND	C16H13I3N2O3
13035	31702	KEGG COMPOUND	C24H20I6N4O8
13038	31705	KEGG COMPOUND	C35H44I6N6O15
13040	31707	KEGG COMPOUND	C26H26I6N2O10
13046	31713	KEGG COMPOUND	C11H9I3N2O4
13047	31714	KEGG COMPOUND	C11H9I3N2O4.C7H17NO5
13048	31715	KEGG COMPOUND	C37H48I6N6O18
13049	31716	KEGG COMPOUND	C22H18I6N2O9
13050	31717	KEGG COMPOUND	C18H24I3N3O9
13051	31718	KEGG COMPOUND	C24H21I6N5O8
13054	31720	KEGG COMPOUND	C11H26N.Cl
13056	31721	KEGG COMPOUND	C9H7Cl2N5.C4H4O4
13057	31722	KEGG COMPOUND	C22H43N5O12.(H2O4S)n
13058	31723	KEGG COMPOUND	C15H15NO3
13059	31724	KEGG COMPOUND	C16H24N2.C6H8O7
13060	31725	KEGG COMPOUND	C7H14O2
13061	31726	KEGG COMPOUND	C6H12O2
13062	31727	KEGG COMPOUND	C10H20O2
13064	31729	KEGG COMPOUND	2C9H8N3O3.Ca
13065	31730	KEGG COMPOUND	C12H10I3N2O4.Na
13068	31733	KEGG COMPOUND	C11H12O3
13069	31734	KEGG COMPOUND	C16H19N3S.HCl
13070	31735	KEGG COMPOUND	C18H23NO3.HCl
13071	31736	KEGG COMPOUND	C28H29ClN4S
13076	31741	KEGG COMPOUND	C42H46O23
13077	31742	KEGG COMPOUND	C21H20O11
13089	31753	KEGG COMPOUND	C35H59NO13
13090	31754	KEGG COMPOUND	C23H25NO4
13092	18366	KEGG COMPOUND	C21H33N9O11PR(C5H8O6PR)n
13098	16624	KEGG COMPOUND	C21H32N6O11PR(C5H8O6PR)n
13106	6344	KEGG COMPOUND	C19H24N2O3.HCl
13108	31759	KEGG COMPOUND	C22H29N3O4S
13109	31760	KEGG COMPOUND	C25H39N3O8.HCl
13110	31761	KEGG COMPOUND	C14H10ClN3S2
13112	31763	KEGG COMPOUND	C16H12O8
13113	31764	KEGG COMPOUND	C17H19NO4
13115	31766	KEGG COMPOUND	C8H10ClN3O.HCl
13117	31768	KEGG COMPOUND	C16H20N.Cl
13118	31769	KEGG COMPOUND	C20H22Cl2N2O6
13120	31771	KEGG COMPOUND	C36H41N3O6.HCl
13122	6433	KEGG COMPOUND	C11H12N2S.HCl
13124	31773	KEGG COMPOUND	C19H24N2OS.HCl
13126	6442	KEGG COMPOUND	C23H31NO2.HCl
13127	31774	KEGG COMPOUND	C42H71N8O12R
13129	31775	KEGG COMPOUND	C18H20N2O2S
13131	31777	KEGG COMPOUND	C26H29FN2O2.HCl
13133	31778	KEGG COMPOUND	C14H8ClNO4.2Na
13137	6519	KEGG COMPOUND	C30H32N2O2.C17H23NO3.HCl.H2O4S
13139	18378	KEGG COMPOUND	C28H48O
13141	52993	KEGG COMPOUND	C16H12Cl2N2O2
13143	6541	KEGG COMPOUND	C22H22ClN6O.K
13145	31785	KEGG COMPOUND	C21H30Cl2N2O5
13148	18128	KEGG COMPOUND	C21H18O12
13150	31789	KEGG COMPOUND	C17H23NO3
13151	31790	KEGG COMPOUND	C20H28O
13152	31791	KEGG COMPOUND	C13H19ClF3N2O.Cl
13153	31792	KEGG COMPOUND	C7H10N2O2S.C2H4O2
13155	31794	KEGG COMPOUND	MgO
13157	31795	KEGG COMPOUND	Mg.O4S.7H2O
13160	31798	KEGG COMPOUND	C12H16O4S2
13162	31800	KEGG COMPOUND	C35H38N4O6.2HCl
13163	6691	KEGG COMPOUND	C20H23N.HCl
13164	31801	KEGG COMPOUND	C26H42O4
13165	31802	KEGG COMPOUND	C21H27NO3S2.HCl
13166	31803	KEGG COMPOUND	2C19H20N2.C10H8O6S2
13167	31804	KEGG COMPOUND	C10H20N2O4
13168	6707	KEGG COMPOUND	C11H21N.HCl
13169	31805	KEGG COMPOUND	C25H27ClN2.2HCl.H2O
13171	31806	KEGG COMPOUND	C4H10NO2S.Cl
13172	31807	KEGG COMPOUND	C16H15ClN2
13174	6719	KEGG COMPOUND	C17H16F6N2O.HCl
13175	31809	KEGG COMPOUND	C13H19ClN2O5S2
13179	31813	KEGG COMPOUND	C11H8I3N2O4.C7H17NO5.C11H9I3N2O4.Na
13180	31814	KEGG COMPOUND	C26H41NO
13181	31815	KEGG COMPOUND	C21H25N.HCl
13182	31816	KEGG COMPOUND	C12H18ClNO2.C4H6O6
13183	31817	KEGG COMPOUND	C10H20.C6H5O(C2H4O)n
13184	31818	KEGG COMPOUND	C25H40O2S
13186	31819	KEGG COMPOUND	C20H22N2O4
13187	31820	KEGG COMPOUND	C14H21NO2.HCl
13188	31821	KEGG COMPOUND	C20H22N2S
13189	31822	KEGG COMPOUND	C5H4N4S.H2O
13190	31823	KEGG COMPOUND	Cl2Hg
13192	31824	KEGG COMPOUND	C2H5O3S2.Na
13193	31825	KEGG COMPOUND	C20H32O2
13194	31826	KEGG COMPOUND	C27H42O3
13196	6806	KEGG COMPOUND	C22H22N2O8.HCl
13197	31827	KEGG COMPOUND	C9H14N2O3
13198	31828	KEGG COMPOUND	C22H32O3
13201	6840	KEGG COMPOUND	C11H17NO3.HCl
13202	31830	KEGG COMPOUND	C11H17NO.HCl
13203	31831	KEGG COMPOUND	C21H38O4
13206	31833	KEGG COMPOUND	C8H11N3O3
13207	31834	KEGG COMPOUND	C21H28NO3.Br
13208	6874	KEGG COMPOUND	C20H25N3O2.C4H4O4
13211	31837	KEGG COMPOUND	C10H17NO2
13213	31839	KEGG COMPOUND	C10H13NO4S2
13216	31841	KEGG COMPOUND	C18H22I3N3O8
13221	29631	KEGG COMPOUND	C48H49N13O9S6
13223	31844	KEGG COMPOUND	C20H41N5O7.H2O4S
13224	6932	KEGG COMPOUND	C18H13ClFN3.HCl
13225	31845	KEGG COMPOUND	C41H67NO15
13226	31846	KEGG COMPOUND	C45H71NO17
13228	31848	KEGG COMPOUND	C8H10N4O2.C11H12N2O.C6H8O7
13229	31849	KEGG COMPOUND	C19H25N3O.C4H6O6
13232	31852	KEGG COMPOUND	C26H33NO4
13233	31853	KEGG COMPOUND	C26H31NO4
13234	31854	KEGG COMPOUND	C15H22N2O.HCl
13236	31855	KEGG COMPOUND	C29H36NO5P
13238	31857	KEGG COMPOUND	C24H25FN6O
13239	31858	KEGG COMPOUND	C9H13N3O6
13241	6961	KEGG COMPOUND	C27H34N2O7.HCl
13242	31860	KEGG COMPOUND	C19H17NO5
13244	31862	KEGG COMPOUND	C28H30FN3OS.C4H4O4
13245	33220	KEGG COMPOUND	C15H15BrO2
13246	31864	KEGG COMPOUND	C17H24N6O4S
13247	31865	KEGG COMPOUND	C22H26FNO2.HCl
13248	31866	KEGG COMPOUND	C28H35ClN4O.2HCl
13251	7008	KEGG COMPOUND	C21H24FN3O4.HCl
13252	31868	KEGG COMPOUND	C16H26NO3.Cl
13253	31869	KEGG COMPOUND	C27H29N3O2.HCl
13255	31870	KEGG COMPOUND	C44H69N5O10
13256	31871	KEGG COMPOUND	C44H70O9
13257	29633	KEGG COMPOUND	C37H51N12O14R
13258	31872	KEGG COMPOUND	C26H41NO3
13259	31873	KEGG COMPOUND	C25H39NO3
13260	31874	KEGG COMPOUND	C24H37NO3
13261	31875	KEGG COMPOUND	C23H35NO3
13262	31876	KEGG COMPOUND	C25H41NO4
13263	31877	KEGG COMPOUND	C20H24N2O7
13265	28968	KEGG COMPOUND	C4H13N3O7P2
13267	31879	KEGG COMPOUND	C13H19N2O
13272	31881	KEGG COMPOUND	C24H25NO6
13273	31882	KEGG COMPOUND	C5H9NO4
13275	31884	KEGG COMPOUND	C22H21NO5
13276	31885	KEGG COMPOUND	C8H13NO5
13279	35704	KEGG COMPOUND	C8H16N2O3
13281	29646	KEGG COMPOUND	C15H17NO4S
13283	31890	KEGG COMPOUND	C19H19N5O2.2CH3O3S
13284	7452	KEGG COMPOUND	C21H21N.HCl
13285	31891	KEGG COMPOUND	C24H28N2O3
13288	31893	KEGG COMPOUND	C27H40O3
13289	31894	KEGG COMPOUND	C25H32O4
13290	31895	KEGG COMPOUND	C16H17NO4
13291	7470	KEGG COMPOUND	C14H14N2.HCl
13293	31896	KEGG COMPOUND	C18H23NO5
13295	31898	KEGG COMPOUND	C2H8N2O3Pt
