ID	compound	source	formula
172	15577	KEGG COMPOUND	C29H48O2
173	15578	KEGG COMPOUND	C27H44O3
174	15579	KEGG COMPOUND	C33H54O8
175	15580	KEGG COMPOUND	C16H26O3
176	29052	KEGG COMPOUND	C3H7O6P
178	15582	KEGG COMPOUND	C6H10O5
182	15605	KEGG COMPOUND	C15H14O2
185	15608	KEGG COMPOUND	C16H28O7
186	15449	KEGG COMPOUND	C26H44N7O18P3S
187	192	KEGG COMPOUND	C21H22O8
196	29004	KEGG COMPOUND	C31H50N7O18P3S
197	204	KEGG COMPOUND	C10H17O3
198	15604	KEGG COMPOUND	C6H13NO2
199	15613	KEGG COMPOUND	C6H14N2O2
200	15454	KEGG COMPOUND	C25H40N7O20P3S
205	212	KEGG COMPOUND	C31H50N7O18P3S
207	214	KEGG COMPOUND	C10H17O3
208	36882	KEGG COMPOUND	C26H42N7O20P3S
210	15564	KEGG COMPOUND	C8H8O6
211	218	KEGG COMPOUND	C6H13O9P
212	15615	KEGG COMPOUND	C17H30O7
213	15616	KEGG COMPOUND	C6H14N2O2
216	15617	KEGG COMPOUND	C33H38N4O6
217	15618	KEGG COMPOUND	C33H38N4O6
219	15622	KEGG COMPOUND	C6H8O7
221	228	KEGG COMPOUND	C10H16O2
222	15623	KEGG COMPOUND	C6H8O6
223	15624	KEGG COMPOUND	C6H8O6
224	232	KEGG COMPOUND	C10H16O
225	233	KEGG COMPOUND	C10H16O2
226	235	KEGG COMPOUND	C22H17N3O2
232	241	KEGG COMPOUND	C10H17O3
233	242	KEGG COMPOUND	C10H17O3
235	15550	KEGG COMPOUND	C20H32O5
236	15552	KEGG COMPOUND	C20H32O5
237	15555	KEGG COMPOUND	C20H32O5
238	15547	KEGG COMPOUND	C20H30O5
239	15556	KEGG COMPOUND	C20H30O5
240	15557	KEGG COMPOUND	C20H30O5
242	15629	KEGG COMPOUND	C20H32O4
243	15631	KEGG COMPOUND	C20H32O4
244	15630	KEGG COMPOUND	C20H34O5
247	15644	KEGG COMPOUND	C21H32N7O15P2
249	15645	KEGG COMPOUND	C17H23NO4
250	15648	KEGG COMPOUND	C15H12O4
251	15649	KEGG COMPOUND	C15H12O5
254	15654	KEGG COMPOUND	C18H30O3
257	15657	KEGG COMPOUND	C18H32O4
259	268	KEGG COMPOUND	C18H30O4
260	269	KEGG COMPOUND	C13H23N3O5
261	270	KEGG COMPOUND	C16H28N4O6
262	17548	KEGG COMPOUND	(C12H16O13)n
263	272	KEGG COMPOUND	C26H35N5O6
264	15460	KEGG COMPOUND	C35H60N7O17P3S
265	15659	KEGG COMPOUND	C11H8N2O5
266	15661	KEGG COMPOUND	C7H8O6
267	15662	KEGG COMPOUND	C10H18O2
268	15663	KEGG COMPOUND	C7H8O6
269	15666	KEGG COMPOUND	C8H9NO2
270	15668	KEGG COMPOUND	C7H6O7
271	15670	KEGG COMPOUND	C5H6O4
272	15464	KEGG COMPOUND	C33H44N7O19P3S
273	282	KEGG COMPOUND	C20H31NO
274	15943	KEGG COMPOUND	(C6H14O11P2)n
275	28202	KEGG COMPOUND	C32H46N7O20P3S
276	286	KEGG COMPOUND	C13H21N6O9P
279	289	KEGG COMPOUND	C34H57N2O26R
282	44356	KEGG COMPOUND	C6H15NO6S
287	15677	KEGG COMPOUND	C4H6N4O3
288	299	KEGG COMPOUND	C10H18O
289	300	KEGG COMPOUND	C10H18O
290	301	KEGG COMPOUND	C10H16
291	28985	KEGG COMPOUND	C3H6O
292	15675	KEGG COMPOUND	C3H9NO
294	15684	KEGG COMPOUND	C5H10O4
295	27512	KEGG COMPOUND	C6H12O4
296	27567	KEGG COMPOUND	C7H12O5
297	15583	KEGG COMPOUND	C6H10O5
299	32796	KEGG COMPOUND	C5H8O5
300	18354	KEGG COMPOUND	C5H12O4S2
302	15465	KEGG COMPOUND	C25H40N7O19P3S
304	15586	KEGG COMPOUND	C5H8O5
305	28379	KEGG COMPOUND	C6H10O3
306	15587	KEGG COMPOUND	C6H10O5
308	16003	KEGG COMPOUND	C9H10O4
309	16320	KEGG COMPOUND	C4H9NO2
311	17066	KEGG COMPOUND	C4H8O3
312	15452	KEGG COMPOUND	C25H42N7O18P3S
315	15769	KEGG COMPOUND	C12H23N2O9PS
316	16654	KEGG COMPOUND	C6H10O4
317	32803	KEGG COMPOUND	C8H8O4
319	15899	KEGG COMPOUND	C6H14O10P2
320	17436	KEGG COMPOUND	C6H13O7P
321	18226	KEGG COMPOUND	C10H14N2O
322	15686	KEGG COMPOUND	C4H8O2
323	17019	KEGG COMPOUND	C20H27NO11
324	18146	KEGG COMPOUND	C20H21NO4
325	27482	KEGG COMPOUND	C17H19NO3
327	17167	KEGG COMPOUND	C3H6O2
328	42111	KEGG COMPOUND	C3H6O3
331	17656	KEGG COMPOUND	C8H8O3
334	27751	KEGG COMPOUND	C16H17NO3
