clip_id	internal_id	sample_title	locus_tag	condition	replicate	time	fraction	collection_date	geographic location (latitude)	geographic location (longitude)	forward_read_file_name	reverse_read_file_name	sample_description
file003_16S_clip	11R2_Bact	Ctr_49h	16S	Ctr	1	49h	0.2-3um	2019-09-10	80.3192	1.3308	11R2-Bact_S81_L001_R1_001.fastq.gz	11R2-Bact_S81_L001_R2_001.fastq.gz	Control, 49h of incubation, 0.2-3um fraction, Replicate1
file004_16S_clip	12R1_Bact	Ctr_49h	16S	Ctr	2	49h	0.2-3um	2019-09-10	80.3192	1.3308	12R1-Bact_S18_L001_R1_001.fastq.gz	12R1-Bact_S18_L001_R2_001.fastq.gz	Control, 49h of incubation, 0.2-3um fraction, Replicate2
file019_16S_clip	27R4_Bact	Ctr_49h	16S	Ctr	3	49h	0.2-3um	2019-09-10	80.3192	1.3308	27R4-Bact_S27_L001_R1_001.fastq.gz	27R4-Bact_S27_L001_R2_001.fastq.gz	Control, 49h of incubation, 0.2-3um fraction, Replicate3
file029_16S_clip	6R2_Bact	Ctr_49h	16S	Ctr	1	49h	greater3um	2019-09-10	80.3192	1.3308	6R2-Bact_S29_L001_R1_001.fastq.gz	6R2-Bact_S29_L001_R2_001.fastq.gz	Control, 49h of incubation, >3um fraction, Replicate1
file023_16S_clip	30R2_Bact	Ctr_49h	16S	Ctr	2	49h	greater3um	2019-09-10	80.3192	1.3308	30R2-Bact_S7_L001_R1_001.fastq.gz	30R2-Bact_S7_L001_R2_001.fastq.gz	Control, 49h of incubation, >3um fraction, Replicate2
file027_16S_clip	4R2_Bact	Ctr_49h	16S	Ctr	3	49h	greater3um	2019-09-10	80.3192	1.3308	4R2-Bact_S40_L001_R1_001.fastq.gz	4R2-Bact_S40_L001_R2_001.fastq.gz	Control, 49h of incubation, >3um fraction, Replicate3
file005_16S_clip	13R1_Bact	IceMelt_49h	16S	IceMelt	1	49h	0.2-3um	2019-09-10	80.3192	1.3308	13R1-Bact_S50_L001_R1_001.fastq.gz	13R1-Bact_S50_L001_R2_001.fastq.gz	Melting ice in seawater, 49h of incubation, 0.2-3um fraction, Replicate1
file020_16S_clip	28R1_Bact	IceMelt_49h	16S	IceMelt	2	49h	0.2-3um	2019-09-10	80.3192	1.3308	28R1-Bact_S61_L001_R1_001.fastq.gz	28R1-Bact_S61_L001_R2_001.fastq.gz	Melting ice in seawater, 49h of incubation, 0.2-3um fraction, Replicate2
file030_16S_clip	7R2_Bact	IceMelt_49h	16S	IceMelt	3	49h	0.2-3um	2019-09-10	80.3192	1.3308	7R2-Bact_S71_L001_R1_001.fastq.gz	7R2-Bact_S71_L001_R2_001.fastq.gz	Melting ice in seawater, 49h of incubation, 0.2-3um fraction, Replicate3
file002_16S_clip	10R4_Bact	IceMelt_49h	16S	IceMelt	1	49h	greater3um	2019-09-10	80.3192	1.3308	10R4-Bact_S5_L001_R1_001.fastq.gz	10R4-Bact_S5_L001_R2_001.fastq.gz	Melting ice in seawater, 49h of incubation, >3um fraction, Replicate1
file007_16S_clip	15R4_Bact	IceMelt_49h	16S	IceMelt	2	49h	greater3um	2019-09-10	80.3192	1.3308	15R4-Bact_S16_L001_R1_001.fastq.gz	15R4-Bact_S16_L001_R2_001.fastq.gz	Melting ice in seawater, 49h of incubation, >3um fraction, Replicate2
file021_16S_clip	29R1_Bact	IceMelt_49h	16S	IceMelt	3	49h	greater3um	2019-09-10	80.3192	1.3308	29R1-Bact_S39_L001_R1_001.fastq.gz	29R1-Bact_S39_L001_R2_001.fastq.gz	Melting ice in seawater, 49h of incubation, >3um fraction, Replicate3
