Unique-Ice	HG-Sediment	UIW-DOM
	C11H10O4	C11H6O6
	C12H14O3	C12H10O5
	C13H18O2	C9H14O5S
	C10H9NO4	C9H14O7
	C11H13NO3	C13H14O4
	C12H17NO2	C10H18O4S
	C10H8O3S	C12H14N2O3
	C10H8O5	C14H18O3
	C11H12O4	C11H22O5
	C8H16O4S	C12H13NO4
	C12H16O3	C13H17NO3
	C11H16N2O2	C11H8O6
	C13H20O2	C8H12O6S
	C10H11NO4	C12H12O3S
	C11H15NO3	C9H16O5S
	C12H19NO2	C11H12N2O4
	C9H6O6	C9H16O7
	C10H10O5	C13H16O4
	C14H10O2	C12H16N2O3
	C11H14O4	C10H20O6
	C8H18O4S	C14H20O3
	C12H18O3	C11H11NO5
	C13H9NO2	C12H15NO4
	C10H13NO4	C13H19NO3
	C11H17NO3	C10H6O7
	C12H21NO2	C8H14O6S
	C13H8O3	C9H18O5S
	C10H12O5	C11H14N2O4
	C14H12O2	C14H22O3
	C11H16O4	C11H13NO5
	C12H20O3	C8H17NO5S
	C12H7NO3	C12H17NO4
	C9H11NO5	C10H8O7
	C13H11NO2	C11H12O4S
	C10H15NO2S	C8H16O6S
	C10H15NO4	C10H12N2O5
	C9H10O6	C15H12O3
	C13H10O3	C9H20O5S
	C10H14O5	C11H16N2O4
	C14H14O2	C16H16O2
	C11H18O4	C10H11NO6
	C12H22O3	C11H15NO5
	C12H9NO3	C12H19NO4
	C9H13NO5	C10H10O7
	C13H13NO2	C14H10O4
	C12H8O4	C11H14O4S
	C9H12O6	C10H14N2O5
	C13H12O3	C15H14O3
	C10H16O5	C11H18N2O4
	C14H16O2	C16H18O2
	C11H7NO4	C10H13NO6
	C12H11NO3	C11H17NO5
	C9H15NO5	C13H8O5
	C13H15NO2	C9H12N2O4S
	C11H23NO3	C9H12N2O6
	C11H6O5	C14H12O4
	C12H10O4	C11H16O4S
	C9H14O6	C10H16N2O5
	C13H14O3	C15H16O3
	C12H14N2O2	C16H20O2
	C10H18O5	C12H24N2O3
	C14H18O2	C9H11NO7
	C11H22O4	C13H11NO4
	C11H9NO4	C10H15NO6
	C12H13NO3	C11H19NO5
	C9H17NO5	C10H19N3O4
	C13H17NO2	C12H23NO4
	C11H8O5	C9H10O6S
	C12H12O4	C10H14O7
	C11H12N2O3	C14H14O4
	C9H16O6	C10H18N2O5
	C13H16O3	C15H18O3
	C12H16N2O2	C16H22O2
	C14H20O2	C13H13NO4
	C11H11NO4	C10H17NO6
	C12H15NO3	C14H17NO3
	C10H6O6	C12H8O6
	C11H10O5	C9H12O6S
	C15H10O2	C8H12N2O5S
	C12H14O4	C13H12O5
	C11H14N2O3	C12H12N2O4
	C13H18O3	C10H16O7
	C12H18N2O2	C14H16O4
	C14H22O2	C13H16N2O3
	C11H13NO4	C15H20O3
	C12H17NO3	C12H24O5
	C13H21NO2	C12H11NO5
	C10H8O6	C13H15NO4
	C14H8O3	C14H19NO3
	C13H8N2O2	C11H6O7
	C11H12O5	C8H10O9
	C8H16O5S	C12H10O6
	C15H12O2	C9H14O6S
	C12H16O4	C8H14N2O5S
	C9H20O4S	C10H18O5S
	C13H20O3	C12H14N2O4
	C14H24O2	C10H18O7
	C10H11NO5	C14H18O4
	C14H11NO2	C13H18N2O3
	C11H15NO4	C12H13NO5
	C12H19NO3	C13H17NO4
	C13H23NO2	C11H8O5S
	C10H10O6	C11H8O7
	C14H10O3	C9H16O6S
	C11H14O5	C11H12N2O5
	C15H14O2	C10H20O5S
	C12H18O4	C12H16N2O4
	C13H22O3	C10H20O7
	C13H9NO3	C14H20O4
	C10H13NO5	C16H28O2
	C14H13NO2	C11H11NO6
	C11H17NO4	C9H19NO3S2
	C13H8O4	C12H15NO5
	C10H12O6	C9H19NO5S
	C14H12O3	C13H19NO4
	C11H16O5	C11H10O7
	C10H16N2O4	C8H14O7S
	C15H16O2	C15H10O4
	C12H20O4	C12H14O4S
	C14H28O2	C9H18O6S
	C12H7NO4	C11H14N2O5
	C9H11NO6	C16H14O3
	C13H11NO3	C13H18O3S
	C10H15NO5	C9H18O8
	C14H15NO2	C10H22O5S
	C9H10O7	C12H18N2O4
	C13H10O4	C15H26O3
	C12H10N2O3	C11H13NO6
	C10H14O6	C10H13N3O5
	C14H14O3	C12H17NO5
	C13H14N2O2	C13H21NO4
	C11H18O5	C11H12O5S
	C10H18N2O4	C8H16O5S2
	C15H18O2	C15H12O4
	C12H22O4	C12H16O4S
	C13H26O3	C11H16N2O5
	C12H9NO4	C16H16O3
	C13H13NO3	C12H20N2O4
	C10H17NO5	C17H20O2
	C14H17NO2	C10H11NO7
	C11H21NO4	C11H15NO6
	C12H8O5	C10H15N3O5
	C9H12O7	C12H19NO5
	C13H12O4	C14H27NO3
	C12H12N2O3	C10H10O6S
	C10H16O6	C10H10O8
	C14H16O3	C14H10O5
	C13H16N2O2	C11H14O5S
	C11H20O5	C10H14N2O6
	C15H20O2	C15H14O4
	C12H11NO2S	C16H18O3
	C12H11NO4	C17H22O2
	C13H15NO3	C15H30O3
	C10H19NO5	C10H13NO7
	C11H6O6	C14H13NO4
	C12H11O3P	C11H17NO6
	C12H10O5	C12H21NO5
	C13H14O4	C11H21N3O4
	C12H14N2O3	C13H25NO4
	C10H18O6	C10H12O6S
	C14H18O3	C10H12O8
	C11H9NO5	C14H12O5
	C12H13NO4	C11H16O5S
	C13H17NO3	C15H16O4
	C14H21NO2	C14H16N2O3
	C11H8O6	C11H20N2O5
	C12H12O5	C16H20O3
	C9H16O5S	C17H24O2
	C11H12N2O4	C13H11NO5
	C16H12O2	C10H15NO7
	C13H16O4	C14H15NO4
	C10H20O4S	C11H19NO6
	C12H16N2O3	C13H10O6
	C14H20O3	C10H14O6S
	C11H24O3S	C14H14O3S
	C15H24O2	C10H14O8
	C11H11NO5	C14H14O5
	C15H11NO2	C11H18O5S
	C12H15NO4	C13H14N2O4
	C9H19NO4S	C11H18O7
	C13H19NO3	C15H18O4
	C10H23NO3S	C14H18N2O3
	C11H10O6	C13H26O5
	C15H10O3	C13H13NO5
	C12H14O5	C14H17NO4
	C9H18O5S	C12H8O7
	C11H14N2O4	C13H12O6
	C16H14O2	C10H16O6S
	C13H18O4	C12H12N2O5
	C10H22O4S	C10H16O8
	C14H22O3	C14H16O5
	C14H9NO3	C11H20O5S
	C11H13NO5	C13H16N2O4
	C8H17NO5S	C11H20O7
	C15H13NO2	C15H20O4
	C12H17NO4	C12H24O4S
	C13H21NO3	C14H20N2O3
	C14H25NO2	C12H11NO6
	C14H8O4	C13H15NO5
	C11H12O6	C14H19NO4
	C15H12O3	C12H10O7
	C12H16O5	C9H14O7S
	C16H16O2	C10H18O6S
	C13H20O4	C12H14N2O5
	C14H24O3	C11H22O5S
	C13H7NO4	C13H18N2O4
	C10H11NO6	C11H22O7
	C14H11NO3	C15H22O4
	C11H15NO5	C7H9NO6S2
	C15H15NO2	C12H13NO6
	C10H10O7	C13H17NO5
	C14H10O4	C14H21NO4
	C11H14O6	C11H8O8
	C15H14O3	C12H12O7
	C12H18O5	C9H16O7S
	C11H18N2O4	C11H12N2O6
	C16H18O2	C16H12O4
	C13H22O4	C13H16O4S
	C13H9NO4	C10H20O6S
	C10H13NO4S	C12H16N2O5
	C10H13NO6	C17H16O3
	C14H13NO3	C14H20O3S
	C11H17NO5	C14H20O5
	C15H17NO2	C11H24O5S
	C13H8O5	C13H20N2O4
	C10H12O7	C11H11NO7
	C14H12O4	C12H15NO6
	C13H12N2O3	C13H19NO5
	C11H16O6	C15H10O5
	C15H16O3	C12H14O5S
	C12H20O5	C9H18O7S
	C11H20N2O4	C11H14N2O6
	C16H20O2	C16H14O4
	C13H24O4	C13H18O4S
	C13H11NO4	C12H18N2O5
	C10H15NO6	C17H18O3
	C14H15NO3	C18H22O2
	C11H19NO5	C19H26O
	C15H19NO2	C11H13NO7
	C12H23NO4	C12H17NO6
	C13H10O5	C11H17N3O5
	C10H14O5S	C11H12O6S
	C12H10N2O4	C15H12O5
	C10H14O7	C11H16N2O6
	C14H14O4	C16H16O4
	C13H14N2O3	C12H20N2O5
	C11H18O6	C17H20O3
	C10H18N2O5	C18H24O2
	C15H18O3	C11H15NO7
	C12H22O5	C10H15N3O6
	C16H22O2	C15H15NO4
	C12H9NO5	C12H19NO6
	C13H13NO4	C13H23NO5
	C14H17NO3	C12H23N3O4
	C11H21NO5	C14H10O6
	C12H8O6	C11H14O6S
	C13H12O5	C11H14O8
	C12H12N2O4	C8H18O8S
	C10H16O7	C15H14O5
	C14H16O4	C12H18O5S
	C13H16N2O3	C11H18N2O6
	C11H20O6	C16H18O4
	C15H20O3	C17H22O3
	C16H24O2	C18H26O2
	C12H11NO5	C14H13NO5
	C13H15NO4	C11H17NO7
	C10H19NO4S	C10H17N3O6
	C14H19NO3	C15H17NO4
	C12H10O4S	C12H21NO6
	C12H11O4P	C13H8O7
	C12H10O6	C10H12O7S
	C9H14O6S	C14H12O6
	C16H10O3	C11H16O6S
	C13H14O5	C15H16O3S
	C10H18O5S	C11H16O8
	C12H14N2O4	C10H16N2O7
	C17H14O2	C15H16O5
	C14H18O4	C12H20O5S
	C11H22O4S	C14H16N2O4
	C13H18N2O3	C12H20O7
	C15H22O3	C16H20O4
	C12H26O3S	C17H24O3
	C11H9NO6	C18H28O2
	C12H13NO5	C14H15NO5
	C16H13NO2	C15H19NO4
	C13H17NO4	C13H10O7
	C10H21NO4S	C10H14O7S
	C16H29NO	C11H18O6S
	C11H8O5S	C13H14N2O5
	C11H8O7	C11H18O8
	C15H8O4	C15H18O5
	C12H12O6	C14H18N2O4
	C9H16O6S	C11H22N2O4S
	C16H12O3	C12H22O7
	C13H16O5	C15H22N2O3
	C10H20O5S	C13H13NO6
	C12H16N2O4	C14H17NO5
	C17H16O2	C13H17N3O4
	C14H20O4	C15H21NO4
	C11H24O4S	C18H33NO
	C15H24O3	C13H12O7
	C11H11NO6	C10H16O7S
	C15H11NO3	C14H16O6
	C12H15NO5	C11H20O6S
	C16H15NO2	C13H16N2O5
	C13H19NO4	C11H20O8
	C14H23NO3	C15H20O5
	C10H6O8	C14H20N2O4
	C15H10O4	C12H24O7
	C14H10N2O3	C12H11NO7
	C12H14O6	C13H15NO6
	C9H18O6S	C14H19NO5
	C11H14N2O5	C11H23NO5S
	C16H14O3	C12H10O8
	C13H18O5	C13H14O5S
	C10H22O5S	C13H14O7
	C12H18N2O4	C10H18O7S
	C17H18O2	C12H14N2O6
	C16H30O2	C17H14O4
	C14H9NO4	C14H18O4S
	C11H13NO6	C14H18O6
	C15H13NO3	C11H22O6S
	C12H17NO5	C13H18N2O5
	C16H17NO2	C18H18O3
	C13H22NO2P	C15H22O3S
	C13H21NO4	C15H22O5
	C14H25NO3	C19H22O2
	C14H8O5	C17H30O3
	C13H8N2O4	C12H13NO7
	C11H12O7	C13H17NO6
	C15H12O4	C12H17N3O5
	C14H12N2O3	C14H21NO5
	C12H16O6	C12H12O6S
	C16H16O3	C9H16O6S2
	C13H20O5	C12H12O8
	C12H20N2O4	C16H12O5
	C17H20O2	C13H16O5S
	C14H24O4	C13H16O7
	C15H28O3	C10H20O7S
	C16H32O2	C12H16N2O6
	C13H7NO5	C17H16O4
	C14H11NO4	C14H20O4S
	C11H15NO6	C14H20O6
	C15H15NO3	C13H20N2O5
	C12H19NO5	C18H20O3
	C16H19NO2	C19H24O2
	C13H23NO4	C12H15NO7
	C14H10O5	C13H19NO6
	C13H10N2O4	C12H19N3O5
	C11H14O7	C14H23NO5
	C15H14O4	C15H27NO4
	C14H14N2O3	C11H10O9
	C12H18O6	C15H10O6
	C11H18N2O5	C12H14O6S
	C16H18O3	C12H14O8
	C13H22O5	C11H14N2O7
	C12H22N2O4	C16H14O5
	C17H22O2	C13H18O5S
	C14H26O4	C12H18N2O6
	C13H9NO5	C14H22O4S
	C14H13NO4	C18H22O3
	C11H17NO6	C19H26O2
	C15H17NO3	C11H13NO8
	C12H21NO5	C12H17NO7
	C13H25NO4	C16H17NO4
	C13H8O6	C13H21NO6
	C10H12O8	C12H21N3O5
	C14H12O5	C14H25NO5
	C11H16O5S	C13H25N3O4
	C13H12N2O4	C14H8O7
	C11H16O7	C11H12O9
	C15H16O4	C15H12O6
	C14H16N2O3	C12H16O8
	C12H20O6	C16H16O5
	C11H20N2O5	C13H20O5S
	C16H20O3	C15H16N2O4
	C13H24O5	C13H20O7
	C14H28O4	C12H20N2O6
	C13H11NO5	C17H20O4
	C14H15NO4	C18H24O3
	C11H19NO6	C19H28O2
	C15H19NO3	C11H15NO8
	C12H23NO5	C15H15NO5
	C13H10O6	C12H19NO7
	C17H10O3	C16H19NO4
	C10H14O8	C13H23NO6
	C14H14O5	C12H23N3O5
	C13H14N2O4	C14H10O7
	C11H18O7	C11H14O7S
	C15H18O4	C11H14O9
	C14H18N2O3	C15H14O6
	C12H22O6	C12H18O6S
	C16H22O3	C14H14N2O5
	C12H9NO6	C16H18O3S
	C13H13NO5	C12H18O8
	C14H17NO4	C16H18O5
	C15H21NO3	C13H22O5S
	C12H8O7	C15H18N2O4
	C16H8O4	C13H22O7
	C13H12O4S	C17H22O4
	C13H12O6	C14H26O4S
	C10H16O6S	C18H26O3
	C12H12N2O5	C14H13NO6
	C17H12O3	C11H17NO8
	C14H16O5	C15H17NO5
	C11H20O5S	C12H21NO7
	C13H16N2O4	C16H21NO4
	C18H16O2	C11H16O7S
	C15H20O4	C15H16O6
	C14H20N2O3	C12H20O6S
	C16H24O3	C14H16N2O5
	C12H11NO6	C12H20O8
	C16H11NO3	C16H20O5
	C13H15NO5	C15H20N2O4
	C14H19NO4	C13H24O7
	C11H23NO4S	C14H28O4S
	C16H27NO2	C18H28O3
	C17H31NO	C14H15NO6
	C12H10O7	C15H19NO5
	C16H10O4	C14H19N3O4
	C15H10N2O3	C16H23NO4
	C13H14O6	C10H14O6S2
	C10H18O6S	C13H10O8
	C12H14N2O5	C10H14O8S
	C17H14O3	C11H18O7S
	C14H18O5	C13H14N2O6
	C11H22O5S	C11H18O9
	C13H18N2O4	C15H18O6
	C18H18O2	C12H22O6S
	C15H22O4	C14H18N2O5
	C16H26O3	C16H22O3S
	C17H30O2	C12H22O8
	C15H9NO4	C16H22O5
	C12H13NO6	C17H26S2
	C16H13NO3	C15H22N2O4
	C13H17NO5	C13H13NO7
	C10H21NO5S	C10H17NO7S
	C17H17NO2	C14H17NO6
	C14H21NO4	C13H17N3O5
	C16H29NO2	C15H21NO5
	C15H8O5	C13H12O8
	C12H12O7	C10H16O8S
	C9H16O7S	C14H16O7
	C16H12O4	C11H20O7S
	C13H16O6	C13H16N2O6
	C10H20O6S	C18H16O4
	C12H16N2O5	C15H20O4S
	C17H16O3	C16H24OS2
	C14H20O5	C12H24O6S
	C11H24O5S	C14H20N2O5
	C13H20N2O4	C19H20O3
	C15H24O4	C16H24O3S
	C16H28O3	C12H24O8
	C15H11NO4	C17H28S2
	C12H15NO6	C13H28O5S
	C16H15NO3	C13H15NO7
	C13H19NO5	C11H23NO4S2
	C16H31NO2	C14H19NO6
	C15H10O5	C13H19N3O5
	C12H14O7	C15H23NO5
	C11H14N2O6	C16H27NO4
	C16H14O4	C12H10O9
	C13H18O6	C16H10O6
	C12H18N2O5	C13H14O8
	C17H18O3	C10H18O8S
	C14H22O5	C12H14N2O7
	C13H22N2O4	C17H14O5
	C16H30O3	C14H18O5S
	C14H9NO5	C15H22O2S2
	C11H13NO7	C11H22O7S
	C15H13NO4	C13H18N2O6
	C12H17NO6	C18H18O4
	C16H17NO3	C15H22O4S
	C13H21NO5	C15H22O6
	C14H25NO4	C16H26OS2
	C15H29NO3	C12H26O6S
	C14H8O6	C14H22N2O5
	C11H12O8	C19H22O3
	C15H12O5	C17H30S2
	C14H12N2O4	C12H13NO8
	C12H16O7	C13H17NO7
	C16H16O4	C14H21NO6
	C15H16N2O3	C13H21N3O5
	C13H20O6	C15H25NO5
	C12H20N2O5	C12H12O7S
	C17H20O3	C12H12O9
	C14H24O5	C16H12O6
	C15H28O4	C13H16O6S
	C16H32O3	C13H16O8
	C14H11NO5	C12H16N2O7
	C11H15NO7	C17H16O5
	C15H15NO4	C14H20O5S
	C12H19NO6	C13H20N2O6
	C16H19NO3	C18H20O4
	C13H23NO5	C15H24O4S
	C14H27NO4	C15H24O6
	C14H10O6	C14H24N2O5
	C11H14O6S	C19H24O3
	C13H10N2O5	C17H32S2
	C11H14O8	C20H28O2
	C15H14O5	C8H15NO9S
	C14H14N2O4	C12H15NO8
	C12H18O7	C13H19NO7
	C16H19O2P	C12H19N3O6
	C16H18O4	C14H23NO6
	C15H18N2O3	C15H27NO5
	C13H22O6	C14H27N3O4
	C12H22N2O5	C15H10O7
	C17H22O3	C12H14O7S
	C14H26O5	C12H14O9
	C13H9NO6	C16H14O6
	C14H13NO5	C13H18O6S
	C15H17NO4	C15H14N2O5
	C12H21NO6	C13H18O8
	C16H21NO3	C12H18N2O7
	C13H25NO5	C17H18O5
	C13H8O7	C14H22O5S
	C14H12O6	C16H18N2O4
	C11H16O6S	C14H22O7
	C13H12N2O5	C18H22O4
	C11H17O6P	C19H26O3
	C18H12O3	C17H34S2
	C11H16O8	C20H30O2
	C15H16O5	C15H13NO6
	C14H16N2O4	C12H17NO6S
	C12H20O7	C12H17NO8
	C16H20O4	C16H17NO5
	C13H24O6	C13H21NO7
	C17H24O3	C12H21N3O6
	C14H28O3S	C14H25NO6
	C13H11NO4S	C13H25N3O5
	C13H11NO6	C15H12O7
	C14H15NO3S	C12H16O7S
	C14H15NO5	C12H16O9
	C15H19NO4	C16H16O6
	C12H23NO4S	C13H20O6S
	C16H23NO3	C15H16N2O5
	C18H31NO	C17H20O3S
	C13H10O7	C13H20O8
	C17H10O4	C12H20N2O7
	C14H14O6	C17H20O5
	C11H18O6S	C14H24O7
	C13H14N2O5	C18H24O4
	C18H14O3	C15H28O6
	C15H18O5	C19H28O3
	C12H22O5S	C16H32O5
	C14H18N2O4	C10H15N3O6S
	C17H26O3	C15H15NO6
	C14H30O3S	C12H19NO8
	C13H13NO6	C16H19NO5
	C14H17NO5	C13H23NO7
	C15H21NO4	C17H23NO4
	C18H33NO	C14H10O8
	C12H8O8	C11H14O8S
	C16H8O5	C15H14O7
	C13H12O7	C12H18O7S
	C10H16O7S	C14H14N2O6
	C17H12O4	C12H18O9
	C14H16O6	C16H18O6
	C11H20O6S	C13H22O6S
	C13H16N2O5	C15H18N2O5
	C18H16O3	C13H22O8
	C15H20O5	C17H22O5
	C12H24O5S	C16H22N2O4
	C14H20N2O4	C14H26O7
	C16H24O4	C18H26O4
	C13H28O4S	C15H30O4S
	C16H11NO4	C14H13NO7
	C13H15NO6	C10H17N3O6S
	C14H19NO5	C15H17NO6
	C15H23NO4	C12H21NO8
	C16H27NO3	C16H21NO5
	C17H31NO2	C15H21N3O4
	C18H35NO	C14H12O6S
	C16H10O5	C11H16O6S2
	C13H14O5S	C14H12O8
	C13H14O7	C11H16O8S
	C10H18O7S	C12H20O7S
	C12H14N2O6	C14H16N2O6
	C17H14O4	C11H20N2O6S
	C14H18O6	C12H20O9
	C11H22O6S	C16H20O6
	C13H18N2O5	C13H24O6S
	C18H18O3	C15H20N2O5
	C15H22O5	C17H24O3S
	C12H26O5S	C13H24O8
	C16H26O4	C17H24O5
	C15H9NO5	C18H28O4
	C12H13NO7	C13H11NO8
	C16H13NO4	C14H15NO7
	C17H17NO3	C15H19NO6
	C14H21NO5	C14H19N3O5
	C15H25NO4	C16H23NO5
	C16H29NO3	C13H10O9
	C15H8O6	C14H14O8
	C12H12O8	C11H18O8S
	C16H12O5	C13H14N2O7
	C15H12N2O4	C15H18O7
	C13H16O7	C12H22O7S
	C12H16N2O6	C14H18N2O6
	C17H16O4	C19H18O4
	C14H20O6	C16H22O4S
	C13H20N2O5	C16H22O6
	C18H20O3	C17H26OS2
	C15H24O3S	C13H26O6S
	C15H24O5	C15H22N2O5
	C14H24N2O4	C20H22O3
	C16H28O4	C17H26O3S
	C15H11NO5	C13H26O8
	C12H15NO7	C17H26O5
	C16H15NO4	C18H30S2
	C13H19NO6	C18H30O4
	C17H19NO3	C13H13NO8
	C14H23NO5	C14H17NO7
	C15H27NO4	C15H21NO6
	C16H31NO3	C12H25NO6S
	C15H10O6	C14H21N3O5
	C14H10N2O5	C16H25NO5
	C12H14O8	C13H12O9
	C16H14O5	C17H12O6
	C15H14N2O4	C14H16O6S
	C13H18O7	C11H20O8S
	C12H18N2O6	C13H16N2O7
	C17H18O4	C18H16O5
	C14H22O4S	C15H20O5S
	C16H18N2O3	C15H20O7
	C14H22O6	C16H24O2S2
	C13H22N2O5	C12H24O7S
	C18H22O3	C14H20N2O6
	C15H26O5	C19H20O4
	C16H30O4	C16H24O4S
	C14H9NO6	C16H24O6
	C15H13NO5	C20H24O3
	C12H17NO7	C17H28O5
	C16H17NO4	C13H15NO8
	C13H21NO6	C14H19NO7
	C17H21NO3	C15H23NO6
	C15H29NO4	C14H23N3O5
	C16H33NO3	C16H27NO5
	C15H12O6	C13H14O7S
	C14H12N2O5	C13H14O9
	C12H16O8	C12H14N2O8
	C16H16O5	C17H14O6
	C15H16N2O4	C14H18O6S
	C13H20O7	C14H18O8
	C12H20N2O6	C11H22O8S
	C17H20O4	C13H18N2O7
	C14H24O6	C18H18O5
	C18H24O3	C15H22O5S
	C16H32O4	C15H22O7
	C14H11NO6	C14H22N2O6
