file001_18S_clip	file002_18S_clip	file003_18S_clip	file004_18S_clip	file005_18S_clip	file006_18S_clip	file007_18S_clip	file008_18S_clip	file009_18S_clip	file010_18S_clip	file011_18S_clip	file012_18S_clip	file013_18S_clip	file014_18S_clip	file015_18S_clip	file016_18S_clip	file017_18S_clip	file018_18S_clip	file019_18S_clip	file020_18S_clip	file021_18S_clip	file022_18S_clip	file023_18S_clip	file024_18S_clip	file025_18S_clip	file026_18S_clip	file027_18S_clip	file028_18S_clip	file029_18S_clip	file030_18S_clip	file031_18S_clip	file032_18S_clip
asv158	1	12	0	0	15	48	435	0	2	1	0	0	0	19	15	1	16	0	0	0	67	0	0	1284	0	76	0	0	0	0	13	0
asv159	0	302	0	0	0	378	105	0	0	0	0	0	0	0	51	0	1	0	0	0	140	0	0	841	0	134	0	0	0	0	27	1
asv160	2	30	135	39	194	45	22	70	73	122	140	103	64	48	12	68	73	38	161	4	32	137	12	0	156	10	3	74	0	4	72	0
asv161	0	35	0	0	11	2	820	0	6	2	5	0	0	23	23	0	7	23	0	0	146	0	0	726	0	58	0	1	0	0	14	0
asv162	274	8	10	0	28	5	246	0	23	70	25	18	35	164	22	35	71	678	12	0	30	4	0	0	0	20	0	115	0	0	5	0
asv163	22	128	0	0	4	5	487	0	0	0	0	0	1	2	22	0	2	5	0	0	284	0	0	3	0	933	0	0	0	0	0	0
asv164	24	9	0	0	0	6	1100	0	11	23	0	0	0	20	74	0	18	75	0	0	372	0	0	66	0	62	0	0	0	0	27	0
asv165	319	7	0	0	19	16	492	0	10	44	2	36	104	75	14	23	23	567	16	0	38	41	0	0	0	11	0	11	0	0	17	0
asv166	0	214	0	0	4	60	496	0	0	0	0	0	0	4	70	0	2	0	0	0	7	0	0	878	0	105	0	0	0	0	3	0
asv167	134	7	48	1	77	0	139	0	54	127	197	47	20	391	5	0	184	110	37	0	14	15	0	0	0	9	0	201	0	0	21	0
asv168	191	7	10	0	35	1	391	0	29	49	52	36	84	149	21	58	41	457	13	0	58	15	0	0	0	30	0	72	0	0	6	0
asv169	0	49	3	0	17	39	1023	0	37	5	0	0	2	82	82	0	75	0	1	0	223	0	0	55	0	88	0	0	0	0	22	0
asv170	0	225	0	0	0	245	238	0	0	0	0	0	15	0	27	19	1	0	3	0	210	0	0	644	0	111	0	0	0	0	24	3
asv171	7	16	105	44	153	39	18	150	55	140	130	84	59	45	11	48	93	39	174	2	37	124	5	0	6	7	6	88	0	6	71	0
asv172	77	13	7	0	12	10	738	0	6	17	1	10	117	67	18	19	8	486	20	0	68	2	0	3	1	15	0	35	0	0	1	0
asv173	3	9	126	99	177	40	21	71	70	114	138	92	46	37	18	56	110	26	151	2	44	126	9	0	9	11	4	60	0	0	70	0
asv174	154	7	28	0	63	4	142	0	58	53	126	93	59	219	6	79	85	217	66	0	29	28	0	0	0	17	0	193	0	0	8	0
asv175	0	1673	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	1	1	0	2	0	0	0	0	0	0
asv176	210	6	10	0	96	1	34	0	78	136	59	51	13	460	3	13	213	0	40	0	4	22	0	0	0	7	0	205	0	0	21	0
asv177	0	1	0	0	87	14	75	0	34	25	0	0	0	107	7	0	15	0	0	0	18	0	0	1194	0	68	0	0	0	0	28	0
asv178	0	148	0	0	4	306	179	0	5	0	0	0	3	0	31	0	1	0	0	0	195	0	0	687	0	86	0	0	0	0	27	0
asv179	2	21	138	35	165	30	22	74	75	109	140	70	57	27	14	45	87	35	155	2	45	110	10	0	9	18	1	83	0	5	84	0
asv180	1	188	0	0	1	258	253	0	0	6	0	0	0	15	35	69	3	0	2	0	260	0	0	484	0	73	0	0	0	0	9	0
asv181	71	4	7	0	49	3	335	0	14	78	12	26	95	130	18	9	18	636	10	0	23	1	0	0	0	14	0	40	0	0	17	1
asv182	118	22	3	0	98	17	207	0	48	117	90	28	79	264	30	7	61	203	27	0	12	24	0	0	0	25	0	118	0	0	12	0
asv183	0	198	0	0	0	40	100	0	0	0	0	0	0	0	77	0	0	0	0	0	155	0	0	909	0	124	0	0	0	0	0	0
asv184	4	112	18	0	72	77	76	0	62	63	86	33	134	40	57	264	56	61	35	0	123	44	0	0	0	91	0	40	0	0	41	0
asv185	1	18	135	25	145	32	25	60	60	99	145	88	54	25	14	56	82	29	154	1	43	119	7	2	6	17	2	62	0	0	52	0
asv186	136	25	5	0	0	19	350	0	2	9	26	28	66	28	5	76	12	607	28	0	28	18	0	0	0	27	0	46	0	0	7	0
asv187	0	104	0	0	1	10	391	0	0	0	15	0	0	0	76	0	3	19	0	0	417	0	0	343	0	126	0	0	0	0	6	0
asv188	0	6	0	0	10	1	94	0	7	3	0	0	0	8	0	0	3	1	5	0	4	0	0	58	1285	10	0	0	0	0	3	0
asv189	684	7	8	0	56	1	62	0	25	65	32	40	51	149	11	16	45	89	41	0	4	13	0	10	0	24	0	30	0	0	7	0
asv190	91	22	17	0	33	13	248	0	13	36	35	25	95	84	21	1	15	546	19	0	51	6	0	2	0	25	0	46	0	0	7	0
asv191	0	93	0	0	33	3	987	0	10	2	0	0	1	28	45	0	3	8	0	0	129	0	0	44	0	52	0	0	0	0	8	0
asv192	92	7	0	0	16	2	448	0	5	17	17	12	71	56	11	21	23	491	5	0	51	7	0	23	0	31	0	29	0	0	1	0
asv193	5	2	139	7	145	24	15	4	66	91	150	90	42	38	8	50	39	24	137	0	37	155	1	0	1	13	0	85	0	0	67	0
asv194	0	46	3	0	0	17	448	0	1	5	0	0	0	3	63	0	7	18	0	0	103	0	0	342	0	364	0	0	0	0	0	0
asv195	12	162	10	0	32	129	62	0	19	20	63	43	130	21	31	155	64	104	26	0	120	42	0	0	0	84	0	51	0	0	33	0
asv196	1	10	83	92	135	26	19	66	63	75	107	78	47	36	11	40	50	25	127	2	34	110	9	0	21	9	2	56	0	8	69	0
asv197	81	7	11	0	74	3	346	0	17	1	11	13	136	24	16	34	2	512	16	0	27	13	0	0	0	28	0	15	0	0	14	0
asv198	1	15	0	0	77	23	703	0	24	3	0	0	0	72	25	0	55	0	0	0	80	0	0	233	0	62	0	0	0	0	26	0
asv199	3	16	86	28	130	28	19	83	67	107	129	69	45	24	13	41	64	22	132	3	40	107	6	0	8	11	0	59	0	1	55	0
asv200	2	11	118	27	141	31	19	46	62	96	103	73	41	26	6	56	76	23	138	3	30	109	8	0	16	12	0	63	0	4	53	0
asv201	12	96	4	0	24	53	108	0	17	16	34	14	270	67	50	71	13	218	30	0	166	8	0	0	0	95	0	19	0	0	4	0
asv202	153	31	20	0	23	13	194	0	9	4	23	10	121	41	12	143	51	426	15	0	34	3	0	3	0	27	0	16	0	0	15	0
asv203	57	15	47	25	123	17	12	0	52	149	67	64	31	245	6	51	113	18	47	0	47	39	0	5	0	7	0	109	0	0	38	0
asv204	124	29	24	0	72	8	160	0	82	18	50	68	59	150	14	68	57	150	34	0	41	16	0	8	0	28	0	99	0	0	14	0
asv205	0	38	0	0	23	6	191	0	0	0	6	0	0	0	59	0	1	0	0	0	338	0	0	464	0	190	0	0	0	0	35	0
asv206	11	0	0	0	0	11	0	0	0	1	0	0	0	0	30	0	0	0	0	0	5	0	0	17	0	1	1271	0	0	0	3	0
asv207	6	12	90	27	123	25	13	46	47	102	102	71	45	26	13	59	91	32	120	2	38	95	5	0	14	11	2	58	0	5	56	0
asv208	0	312	0	0	0	73	45	0	0	0	0	0	2	1	77	0	1	1	0	0	228	0	0	515	0	76	0	0	0	0	0	0
asv209	2	15	91	22	120	18	11	205	54	64	83	60	37	25	11	55	74	34	109	3	17	105	1	0	9	8	2	39	0	0	54	0
asv210	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	3	1	1	1321	0	0	0	0	0
asv211	0	0	0	0	0	1	0	89	0	0	0	0	0	0	0	0	0	0	0	50	0	0	1	0	1152	0	0	0	0	24	0	1
asv212	106	6	0	1	58	6	274	0	22	2	37	22	54	126	21	35	16	363	51	0	19	19	0	0	0	15	0	48	0	0	15	0
asv213	101	7	13	0	48	2	144	0	28	73	57	75	19	372	5	0	53	115	13	0	16	11	0	0	0	17	0	137	0	0	7	0
asv214	96	15	17	0	17	1	232	0	21	14	45	33	69	144	8	24	54	313	22	0	41	7	0	16	0	39	0	83	0	0	0	0
asv215	7	17	71	71	121	38	19	46	58	75	122	74	42	24	9	44	53	19	114	1	38	86	4	0	9	6	1	53	0	2	56	0
asv216	92	27	7	0	9	25	207	0	17	21	27	23	73	57	7	36	15	447	21	0	23	26	0	0	0	33	0	66	0	0	17	0
asv217	8	51	0	0	12	70	94	0	7	6	12	4	190	31	21	396	13	81	0	0	183	5	0	0	0	59	0	16	0	0	12	0
asv218	0	10	2	0	0	108	389	0	4	23	0	0	0	7	53	0	3	0	0	0	216	0	0	423	0	16	0	0	0	0	12	0
asv219	0	100	0	0	10	8	834	0	11	10	1	1	0	37	36	0	5	16	0	0	108	0	0	24	0	49	0	0	0	0	1	0
asv220	59	1	26	0	65	0	76	0	81	54	99	51	19	195	1	0	147	56	40	0	10	22	0	0	0	6	0	207	0	0	18	0
asv221	127	8	0	0	9	8	291	0	14	18	19	28	88	48	11	11	43	397	13	0	4	15	0	0	0	21	1	21	0	0	16	0
asv222	108	3	1	0	22	6	147	0	18	22	27	43	87	103	14	16	46	331	10	0	34	14	0	0	0	27	1	124	0	0	6	0
asv223	2	170	0	0	0	223	76	0	10	0	3	0	35	10	100	313	0	0	0	0	150	0	0	30	0	57	0	16	0	0	8	0
asv224	0	0	0	0	0	227	269	0	0	0	0	0	0	2	1	0	2	0	0	0	231	0	0	461	0	3	0	0	0	0	3	0
asv225	100	2	32	0	47	0	60	0	36	96	97	27	11	325	3	6	123	9	13	0	10	15	0	0	0	7	0	147	0	0	10	0
asv226	2	21	82	31	107	21	14	36	41	68	94	74	38	31	8	65	42	50	102	2	25	79	11	0	6	10	1	55	0	0	43	0
asv227	88	2	14	0	62	3	39	0	41	77	89	110	3	304	1	0	68	6	55	0	0	26	0	0	0	2	0	148	0	0	1	0
asv228	0	108	0	0	0	78	250	0	2	0	1	0	1	1	3	0	0	1	6	0	155	0	0	478	0	25	0	0	0	1	29	0
asv229	0	27	2	0	76	9	501	0	17	40	0	0	1	145	8	0	47	0	0	0	91	0	0	133	0	25	0	0	0	0	13	0
asv230	2	5	66	19	90	18	19	188	47	61	93	56	35	11	6	37	46	22	101	2	27	69	5	0	12	8	0	44	0	1	42	0
asv231	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	1028	0	0	0	0	32	0	0	0	0	13	0	0
asv232	0	61	0	0	0	44	133	0	0	0	0	0	0	0	91	0	0	0	0	0	502	0	0	168	0	117	0	0	0	0	0	0
asv233	121	4	0	0	5	6	257	0	0	4	5	11	133	18	7	48	9	432	0	0	8	3	0	0	0	19	0	7	0	0	10	0
asv234	72	3	11	0	101	3	162	0	20	19	15	38	71	80	4	47	50	191	18	0	36	32	0	3	0	22	0	60	0	0	26	0
asv235	160	24	0	0	15	17	321	0	17	1	9	0	57	8	22	28	2	66	20	0	127	0	0	2	0	125	0	0	0	0	61	0
asv236	0	121	2	0	4	153	121	0	1	3	0	0	12	9	21	10	5	19	0	0	122	0	1	393	0	71	0	2	0	0	10	0
asv237	0	98	0	0	0	41	111	0	0	2	19	0	0	0	0	0	1	0	0	0	249	0	0	299	0	249	0	0	0	0	0	0
asv238	0	96	0	0	10	170	191	0	0	0	0	0	10	0	66	0	1	50	0	0	73	0	0	268	0	103	0	0	0	0	24	0
asv239	0	29	5	0	96	23	269	0	7	0	0	1	0	9	5	0	5	0	0	0	51	0	0	534	0	8	0	0	0	0	13	0
asv240	72	9	0	0	13	0	570	0	5	0	0	1	35	20	5	0	4	258	0	0	31	0	0	16	0	10	0	1	0	0	0	0
asv241	151	84	0	0	20	43	54	0	1	14	6	4	77	9	56	149	0	40	0	0	148	3	0	52	0	109	0	10	0	0	3	0
asv242	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1028	0	0	0	0	0	0	0
asv243	1	9	64	44	113	22	12	54	44	73	76	47	28	20	6	33	54	16	92	4	21	85	7	1	8	7	1	42	0	1	42	0
asv244	8	147	0	0	0	93	23	0	0	1	0	0	0	0	98	72	4	19	0	0	64	0	0	311	0	175	0	0	0	0	2	0
asv245	84	3	4	0	0	15	279	0	12	1	4	14	85	39	3	30	26	326	10	0	20	4	0	0	0	20	0	25	0	0	4	0
asv246	0	11	0	1	15	1	678	0	0	1	0	0	0	5	4	0	14	0	0	0	27	0	0	189	0	51	0	0	0	0	10	0
asv247	0	32	0	0	0	110	79	0	3	0	0	0	42	1	12	74	0	20	0	0	149	0	0	403	0	53	1	0	0	0	23	0
asv248	81	3	13	0	77	1	27	0	34	75	62	48	1	333	0	0	66	18	20	0	8	27	0	0	0	2	0	95	0	0	10	0
asv249	86	4	13	0	19	0	133	0	20	78	48	46	6	296	1	0	67	13	18	0	12	17	0	0	0	9	0	99	0	0	8	0
asv250	41	2	15	0	47	1	15	0	37	48	71	72	15	178	0	32	84	121	58	0	3	22	0	1	0	4	0	84	0	0	24	0
asv251	0	134	0	0	0	90	205	0	0	0	0	0	0	0	36	0	3	0	0	0	195	0	0	37	0	251	0	0	0	0	23	0
asv252	6	41	28	0	50	24	8	0	45	54	171	82	75	32	25	3	10	10	105	0	19	64	0	0	0	60	0	20	1	0	34	0
asv253	50	55	1	0	4	1	107	0	0	4	12	0	33	4	35	53	7	11	2	0	394	3	0	1	0	165	0	2	0	0	18	0
asv254	0	9	0	0	0	104	200	0	0	0	0	0	0	0	2	0	1	0	0	0	57	0	0	578	0	0	0	0	0	0	0	0
asv255	99	16	0	0	0	10	463	0	2	6	0	0	68	3	17	13	18	31	0	0	114	0	0	4	0	55	0	8	0	0	21	0
asv256	10	2	1	0	1	61	0	0	0	13	0	0	1	0	172	0	0	0	0	0	48	0	0	74	21	0	527	3	0	0	13	0
asv257	0	302	0	0	0	139	54	0	0	0	0	0	0	0	8	0	0	0	0	0	28	0	0	414	0	0	0	0	0	0	0	0
asv258	0	42	0	0	0	176	88	0	0	0	0	0	2	0	26	10	1	10	1	0	51	4	0	460	0	51	0	0	0	1	15	0
asv259	8	88	11	0	71	44	32	0	22	32	35	18	56	25	43	64	28	42	67	0	95	32	0	0	0	70	0	23	0	0	25	0
asv260	0	26	51	0	82	50	47	0	33	74	38	61	32	14	5	46	46	157	61	0	6	21	0	0	0	11	0	30	0	0	39	0
asv261	1	9	66	17	88	18	13	30	48	55	76	52	30	13	7	41	41	15	104	2	19	70	11	0	7	10	1	35	0	0	45	0
asv262	0	4	3	0	26	1	562	0	19	22	0	2	7	35	3	0	37	8	0	0	93	0	0	58	0	35	0	2	0	0	4	0
asv263	23	21	0	0	0	4	457	0	0	0	0	0	53	1	9	41	7	55	0	0	155	0	0	0	0	77	0	1	0	0	1	0
asv264	0	101	0	0	3	65	44	0	0	0	0	0	0	0	37	0	2	0	0	0	55	0	0	462	0	122	0	0	0	0	12	0
asv265	0	11	66	0	51	9	20	0	95	73	84	34	28	22	7	17	59	24	111	0	16	69	0	0	0	5	0	43	0	0	42	0
asv266	2	85	8	0	2	203	49	0	10	2	0	0	5	2	8	15	0	4	1	0	50	0	0	350	0	78	0	0	0	0	11	0
asv267	58	5	15	0	14	4	49	0	30	37	29	15	31	131	6	8	37	268	12	0	15	7	0	0	0	13	0	83	0	0	8	0
asv268	94	3	5	0	46	7	161	0	19	67	47	21	19	155	10	0	11	92	4	0	8	4	0	0	0	13	0	81	0	0	6	0
asv269	61	8	3	0	50	8	134	0	10	18	23	14	53	41	6	1	14	328	2	0	14	0	0	0	0	37	0	45	0	0	3	0
asv270	131	4	9	0	18	9	251	0	1	0	1	7	27	58	6	0	2	267	2	0	10	0	0	0	0	14	0	39	0	0	5	0
asv271	87	5	30	0	11	3	47	0	31	13	62	44	39	121	1	0	63	145	22	0	7	21	0	0	0	6	0	93	0	0	6	0
asv272	74	6	3	0	110	0	75	0	35	22	41	19	37	95	3	16	21	174	21	0	14	24	0	0	0	12	0	20	0	0	22	0
asv273	0	83	0	0	4	143	131	0	0	0	0	0	0	3	16	0	1	0	0	0	157	0	0	262	0	40	0	0	0	0	1	0
asv274	210	0	5	0	69	2	24	0	8	41	14	42	26	181	1	3	26	111	13	0	3	16	0	0	0	0	0	41	0	0	4	0
asv275	4	11	46	37	80	19	12	31	47	53	63	34	30	15	7	22	52	16	80	0	16	60	7	0	3	3	0	40	0	1	24	0
asv276	4	0	0	0	0	25	0	0	0	2	0	0	0	0	46	0	0	0	0	0	32	0	0	20	3	0	669	0	1	0	4	0
asv277	0	0	0	0	0	0	488	0	0	0	0	0	0	6	8	0	8	0	0	0	35	0	0	255	0	3	0	0	0	0	1	0
asv278	70	7	8	0	16	1	181	0	3	5	4	14	59	24	8	40	4	302	2	0	19	0	0	0	0	10	0	15	0	0	7	0
asv279	0	55	4	0	31	166	95	1	3	0	0	0	14	16	11	3	4	1	1	0	87	0	0	255	0	26	0	1	0	0	17	1
asv280	0	3	0	0	19	0	308	0	3	0	1	2	5	16	3	0	1	0	0	0	63	0	2	293	0	71	0	1	0	0	0	0
asv281	0	76	0	0	33	64	176	0	3	7	0	0	0	25	10	0	29	0	0	0	89	0	0	189	0	52	0	0	0	0	29	0
asv282	47	0	31	0	70	0	41	0	47	34	113	36	12	103	0	0	47	52	21	0	0	15	0	7	0	5	0	76	0	0	20	0
asv283	0	6	0	0	9	0	399	0	6	4	0	0	0	7	12	0	1	0	0	0	109	0	0	168	0	45	0	0	0	0	6	0
asv284	0	3	0	0	1	4	126	0	0	0	0	0	0	0	1	0	0	0	0	0	8	0	0	622	0	4	0	1	0	0	0	0
asv285	0	9	7	0	16	2	412	0	8	5	0	0	0	31	7	0	8	0	0	0	31	1	0	212	0	14	0	0	0	0	5	0
asv286	47	6	21	0	34	2	98	0	12	23	24	27	29	118	5	22	44	152	8	0	25	3	0	0	0	2	0	55	0	0	7	0
asv287	7	5	0	0	32	0	330	0	6	4	0	0	3	22	10	0	6	55	0	0	31	0	0	230	0	12	0	1	0	0	6	0
asv288	0	0	0	0	2	2	0	0	3	1	0	0	0	0	171	0	0	0	0	0	0	0	0	566	0	0	0	0	0	0	5	0
asv289	0	68	0	0	4	5	427	0	0	13	0	0	0	29	31	0	8	0	0	0	79	0	1	27	0	45	0	0	0	0	1	0
asv290	52	13	11	0	10	0	139	0	12	23	11	20	29	66	0	44	29	197	11	0	21	5	0	0	0	12	0	27	0	0	3	0
asv291	2	8	0	1	0	7	588	0	4	6	0	0	0	6	20	0	17	5	0	0	28	0	0	25	0	12	0	0	0	0	0	0
asv292	59	2	17	0	36	2	51	0	19	23	0	11	31	106	8	20	25	220	20	0	7	7	0	0	0	3	0	55	0	0	0	0
asv293	1	4	1	0	0	9	473	0	0	1	0	0	0	27	9	0	11	12	0	0	73	0	0	46	0	20	0	5	0	0	5	0
asv294	0	85	0	0	0	44	140	0	3	7	0	0	0	19	1	0	42	0	0	0	60	0	0	258	0	37	0	0	0	0	0	0
asv295	37	2	11	0	46	3	15	0	30	41	51	43	4	173	2	4	46	51	17	0	1	9	0	0	0	2	0	92	0	0	11	0
asv296	0	182	0	0	1	5	148	0	0	0	0	0	0	4	3	0	0	0	0	0	70	0	0	256	0	12	0	0	0	0	0	0
asv297	2	3	7	0	86	4	220	0	18	27	3	1	0	157	5	0	80	0	0	0	19	0	0	6	0	32	0	2	0	0	8	0
asv298	73	8	0	0	27	4	188	0	18	19	2	15	44	45	1	0	15	178	0	0	18	2	0	0	0	11	0	8	0	0	3	0
asv299	0	54	0	0	0	3	460	0	1	0	0	0	0	26	13	0	1	17	0	0	36	0	0	28	0	38	0	0	0	0	2	0
asv300	2	8	44	11	76	18	7	27	24	34	65	19	18	17	7	21	45	8	63	2	22	58	1	1	8	4	2	36	0	1	27	0
asv301	2	66	0	0	0	80	41	0	0	0	2	0	143	0	7	221	2	38	0	0	24	0	0	0	0	24	0	5	0	0	7	0
asv302	4	0	0	0	0	29	0	0	0	0	0	0	0	0	80	0	0	0	0	0	24	0	0	26	4	0	486	0	0	0	6	0
asv303	14	6	1	0	0	2	11	0	0	2	0	1	10	2	5	12	0	9	0	62	20	0	0	8	0	13	9	7	0	464	0	0
asv304	43	2	10	0	26	0	36	0	3	9	37	46	12	128	0	7	63	97	11	0	6	13	0	0	0	4	0	95	0	0	8	0
asv305	55	5	0	0	16	7	94	0	12	28	12	12	13	94	3	0	30	157	18	0	17	4	0	2	0	9	0	42	0	0	24	0
asv306	0	5	0	0	37	4	87	0	8	8	0	0	0	108	4	0	36	0	0	0	25	6	0	309	0	11	0	0	0	0	4	0
asv307	42	2	46	0	20	3	35	0	30	41	73	34	13	116	2	17	33	4	36	0	8	32	0	0	0	2	0	47	0	0	11	0
asv308	110	7	0	0	3	1	161	0	4	0	0	6	88	12	7	0	1	188	0	0	20	2	0	0	0	26	0	1	0	0	5	0
asv309	209	7	14	0	62	1	48	0	12	4	10	23	10	45	11	26	13	94	9	0	6	4	0	0	0	2	0	22	0	0	3	0
asv310	21	22	9	0	11	20	129	0	22	18	27	7	136	25	10	1	16	54	20	0	48	8	0	0	0	9	0	6	0	0	9	0
asv311	5	39	0	0	11	32	40	0	32	23	11	27	78	7	39	64	20	32	19	0	47	26	0	0	0	50	0	16	0	0	9	0
asv312	123	10	7	0	3	1	67	0	2	10	5	14	19	58	2	4	22	184	23	0	9	13	0	10	0	3	0	33	0	0	0	0
asv313	34	0	1	0	0	0	34	0	13	22	75	37	13	153	0	13	42	19	28	0	0	16	0	0	0	1	0	109	0	0	7	0
asv314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	612	0	0	0	0	0	0	0	0	0	0	0	0
asv315	0	0	0	0	0	0	0	577	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	6	0	0	0	0	6	0	0
asv316	82	6	1	0	36	4	121	1	4	2	17	22	57	29	10	9	10	165	5	0	8	1	1	0	0	11	0	2	0	0	2	0
asv317	3	0	0	0	0	15	0	0	0	0	0	0	0	0	50	0	1	0	0	0	11	0	0	435	2	1	85	0	0	0	2	0
asv318	1	46	0	0	0	104	90	0	2	8	0	0	2	10	13	0	5	0	0	0	96	1	0	195	0	25	0	0	0	0	6	0
asv319	0	13	0	0	5	9	280	0	10	19	22	0	0	24	13	0	15	0	0	0	41	0	0	85	0	64	0	0	0	0	3	0
asv320	98	4	10	0	3	5	176	0	0	9	12	5	7	21	10	1	5	173	21	0	3	0	0	0	0	13	0	12	0	0	5	0
asv321	8	0	0	0	0	5	174	0	8	2	0	5	2	18	16	0	16	0	14	0	74	0	0	234	0	12	0	0	0	0	4	0
asv322	0	2	0	0	32	1	314	0	13	17	0	0	0	54	5	0	20	16	0	0	38	0	0	47	0	21	0	3	0	0	6	0
asv323	0	76	4	0	0	46	11	0	0	0	0	0	0	0	55	0	0	0	0	0	50	0	0	216	0	117	0	0	0	0	7	0
asv324	4	0	1	0	0	39	0	0	0	2	0	0	0	2	156	0	0	0	0	0	38	1	0	69	9	0	257	0	0	0	3	0
asv325	0	13	3	0	0	42	43	0	0	0	0	0	0	0	12	2	0	0	0	0	74	0	0	319	0	72	0	0	0	0	0	0
asv326	4	1	0	0	0	31	1	0	0	2	0	0	0	1	137	0	0	0	0	0	32	0	0	50	9	0	296	1	1	0	10	0
asv327	0	54	0	0	0	96	103	0	0	1	0	0	0	6	18	0	10	0	0	0	91	0	0	137	0	28	0	0	0	0	26	0
asv328	0	0	0	0	0	0	26	0	0	0	0	0	0	1	22	0	0	0	0	0	0	0	0	521	0	0	0	0	0	0	0	0
asv329	0	0	0	0	0	0	0	357	0	0	0	0	0	0	0	0	0	1	0	73	0	0	1	0	69	0	0	0	0	54	0	0
asv330	25	26	4	0	71	18	57	0	18	4	29	15	43	25	9	38	23	30	5	0	38	10	0	0	0	24	0	25	0	0	17	0
asv331	15	4	21	0	43	1	68	0	17	26	13	4	0	184	0	0	64	20	11	0	11	6	0	4	0	4	0	32	0	0	3	0
asv332	49	3	0	0	16	2	145	0	17	3	2	17	29	32	9	10	3	157	4	0	10	6	0	3	0	12	0	6	0	0	7	0
asv333	5	0	0	1	0	28	0	0	0	1	0	0	0	1	90	0	0	0	0	0	21	0	0	47	126	0	215	2	0	0	3	0
asv334	5	0	0	0	0	59	0	0	0	1	0	0	0	0	99	0	0	0	0	0	27	0	0	40	6	1	292	3	0	0	4	0
asv335	70	3	5	0	18	0	51	0	21	36	11	15	18	103	6	0	41	49	19	0	5	2	0	0	0	2	0	55	0	0	4	0
asv336	38	6	0	0	0	1	254	0	0	3	8	1	17	0	28	0	0	74	0	0	26	0	0	2	0	51	0	0	0	0	3	0
asv337	0	1	0	0	0	0	300	0	0	0	0	0	1	3	6	0	10	0	0	0	133	0	0	48	0	9	0	0	0	0	1	0
asv338	0	11	0	0	7	7	289	0	3	19	11	0	0	39	2	0	35	0	0	0	26	0	0	34	0	17	0	0	0	0	9	0
asv339	47	2	28	0	37	0	25	0	21	17	51	36	4	75	3	0	26	28	45	0	1	3	0	1	0	8	0	43	0	0	7	0
asv340	0	7	0	0	0	0	394	0	0	0	0	0	0	2	8	0	3	0	0	0	26	0	0	39	0	26	0	0	0	0	2	0
asv341	35	7	16	0	27	0	43	0	15	28	36	30	6	105	3	5	38	43	12	0	4	2	0	0	0	2	0	46	0	0	3	0
asv342	0	21	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	106	0	0	355	0	22	0	0	0	0	0	0
asv343	10	7	1	0	0	6	14	0	0	2	0	1	15	6	3	14	0	11	1	208	29	0	0	15	0	21	4	5	0	125	2	0
asv344	32	5	0	0	18	0	95	0	16	5	21	5	17	32	4	5	32	166	5	0	7	6	0	4	0	2	0	14	0	0	4	0
asv345	10	0	0	0	0	8	0	0	0	2	0	0	0	1	57	0	0	0	0	0	19	0	0	24	4	0	366	0	0	0	3	0
asv346	3	5	42	14	53	12	5	17	15	37	33	18	12	11	4	18	25	13	47	0	14	28	4	0	4	4	1	23	0	2	24	0
asv347	3	2	5	355	11	3	3	0	1	12	9	6	2	13	3	7	10	0	7	0	7	9	0	1	0	0	3	6	0	0	3	0
asv348	48	0	19	0	16	0	24	0	13	14	34	26	21	62	0	17	43	67	12	0	6	5	0	0	0	2	0	43	0	0	6	0
asv349	12	29	0	0	0	32	39	0	6	0	0	1	54	1	29	47	1	95	0	0	31	0	0	3	0	89	0	8	0	0	1	0
asv350	0	51	0	0	0	1	319	0	3	0	0	0	0	15	8	0	3	0	0	0	34	0	0	12	0	27	0	0	0	0	0	0
asv351	0	5	0	0	0	1	412	0	1	0	0	0	0	1	2	0	16	0	0	0	23	0	0	7	0	5	0	0	0	0	0	0
asv352	3	25	0	0	10	19	22	0	5	5	22	4	17	8	13	85	0	82	2	0	88	8	0	23	0	23	0	0	0	0	7	0
asv353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	469	0	2	0	0	0	0	0	0
asv354	0	11	0	0	0	406	12	0	0	0	0	0	0	0	2	0	0	0	0	0	16	0	0	11	0	9	0	0	0	0	1	0
asv355	22	4	3	0	0	2	105	0	15	11	11	10	7	105	7	1	40	67	11	0	3	1	0	0	0	8	0	27	0	0	6	0
asv356	0	8	0	0	10	1	228	0	1	1	0	2	4	21	9	0	4	5	0	0	51	0	0	64	0	49	0	2	0	0	3	0
asv357	0	64	0	0	0	10	102	0	2	0	0	0	0	0	28	0	0	0	0	0	98	0	0	49	0	106	0	0	0	0	2	0
asv358	56	0	0	0	0	0	44	0	0	0	0	8	10	16	0	0	0	307	3	0	5	2	0	0	0	5	0	2	0	0	1	0
