file001_18S_clip	file002_18S_clip	file003_18S_clip	file004_18S_clip	file005_18S_clip	file006_18S_clip	file007_18S_clip	file008_18S_clip	file009_18S_clip	file010_18S_clip	file011_18S_clip	file012_18S_clip	file013_18S_clip	file014_18S_clip	file015_18S_clip	file016_18S_clip	file017_18S_clip	file018_18S_clip	file019_18S_clip	file020_18S_clip	file021_18S_clip	file022_18S_clip	file023_18S_clip	file024_18S_clip	file025_18S_clip	file026_18S_clip	file027_18S_clip	file028_18S_clip	file029_18S_clip	file030_18S_clip	file031_18S_clip	file032_18S_clip
asv39	0	0	2	0	24	2	130	1	16	14	0	0	0	151	2	0	33	16	0	4	2	0	0	377	17775	17	0	0	0	0	19	0
asv40	0	1687	0	0	38	1400	1438	0	7	1	18	0	149	74	1242	72	36	30	4	0	3070	0	1	5219	0	3578	1	4	0	0	112	0
asv41	92	1813	177	0	658	1033	1290	0	341	330	390	241	728	503	432	1034	423	946	216	1	2931	242	0	1450	0	1340	1	281	0	0	224	0
asv42	122	992	294	0	489	1466	1121	1	314	553	560	376	2139	762	401	1478	396	1453	351	0	1133	370	1	527	0	765	1	419	1	0	255	1
asv43	189	1411	185	1	570	232	1845	0	287	343	538	180	1082	512	518	501	504	3249	218	0	1684	159	0	1	0	1645	1	267	0	0	118	0
asv44	1335	69	61	0	252	93	4563	0	168	285	218	155	419	1626	204	168	389	3906	104	0	301	70	0	5	1	195	0	649	0	0	93	0
asv45	1	896	49	0	3	1129	979	0	0	0	0	0	30	1	412	1	7	0	0	0	1306	0	0	6730	0	1638	0	1	0	0	4	1
asv46	412	40	89	0	316	26	1998	0	136	340	325	299	643	1205	52	82	372	2629	192	1	204	131	0	7	1	146	0	918	0	0	60	0
asv47	0	46	0	0	57	14	1646	0	32	34	6	0	6	90	33	1	11	0	0	0	266	0	0	6917	0	518	0	7	0	0	50	0
asv48	6	788	100	0	8	1923	622	0	2	3	1	0	18	1	77	1	2	6	0	0	1134	0	0	4030	2	384	1	4	0	2	50	0
