file001_16S_clip	file002_16S_clip	file003_16S_clip	file004_16S_clip	file005_16S_clip	file006_16S_clip	file007_16S_clip	file008_16S_clip	file009_16S_clip	file010_16S_clip	file011_16S_clip	file012_16S_clip	file013_16S_clip	file014_16S_clip	file015_16S_clip	file016_16S_clip	file017_16S_clip	file018_16S_clip	file019_16S_clip	file020_16S_clip	file021_16S_clip	file022_16S_clip	file023_16S_clip	file024_16S_clip	file025_16S_clip	file026_16S_clip	file027_16S_clip	file028_16S_clip	file029_16S_clip	file030_16S_clip	file031_16S_clip	file032_16S_clip
asv16	1964	161	2634	5	2387	49	111	7	3680	3236	4273	4007	560	1666	340	1295	3760	272	6196	4	172	3725	3	10	3	443	88	3338	7	824	4148	9
asv17	1094	431	1289	569	2335	170	273	1949	4730	2756	3501	3422	1324	866	751	2845	2945	1043	5088	4	211	4042	1	3	1	373	304	1665	2	3	5086	2
asv18	3	8125	31	0	2678	763	2136	1755	981	452	39	17	73	477	2046	99	1191	60	36	1460	2121	14	4	6547	10469	2127	81	4	1	379	2496	0
asv19	1	0	0	8354	1	1	1	2732	1	0	1	3	0	0	0	2	2	3	2	252	0	0	2712	1	256	0	488	0	19321	2084	0	10009
asv20	83	13	61	1	76	4	4	0	191	82	132	168	19	51	15	41	99	24	151	12387	4	150	11486	0	1	11	0	105	0	12560	167	1
asv21	2	5	60	1807	3	0	4	5649	1	3	0	4	10	0	3	18	4	9	3	4225	3	2	2347	7	166	0	2104	0	3344	2187	6	16080
asv22	4	4671	96	3	4232	468	1476	0	2321	817	85	62	184	720	2061	262	2335	123	152	1	1971	64	3	7892	1284	1405	2	26	1	1	4795	0
asv23	3077	107	1485	5	1851	15	619	7	3711	3768	3114	2938	198	2336	197	128	2734	231	2876	6	176	2279	3	20	2	129	8	3162	3	5	1839	6
asv24	0	6280	6	2	536	576	2578	0	849	270	6	2	14	206	3564	5	825	9	7	0	3507	2	4	7750	1246	2571	6	3	0	1	1382	0
asv25	2	2	3	1224	3	0	2	21938	11	3	3	4	1	1	3	2	0	10	5	4469	3	1	567	3	2317	0	1028	0	5	170	12	209
asv26	766	749	1196	0	962	64	379	1	2340	1751	2636	2215	1817	637	803	1507	1962	1449	3102	1	380	2259	1	4	1	300	1	1709	2	56	2185	1
asv27	0	0	0	6992	4	1	0	1207	0	5	3	0	1	1	26	59	5	54	0	368	0	2	1606	0	508	0	250	0	8081	901	0	9633
asv28	7615	726	125	4	278	99	4899	0	696	430	599	415	2252	1086	651	2049	1026	2784	508	4	525	282	22	5	5	514	4	514	0	0	267	1
asv29	7	566	60	1	2258	46	286	1	2558	856	42	70	9	509	534	4	2794	7	122	1872	332	49	0	353	10958	285	0	45	1	711	2979	2
asv30	2254	965	319	1	867	246	771	1	1471	944	1299	939	2415	1179	924	3098	1270	1883	1170	566	379	1045	4	275	106	272	1	741	1	0	1204	2
asv31	222	1579	308	0	2315	195	395	0	2378	923	574	603	89	557	852	238	1587	86	1002	1379	492	762	313	3640	1699	374	3	304	0	72	3562	1
asv32	222	2984	96	1	194	341	1041	0	405	319	479	257	4312	110	2343	4762	474	2541	301	1	1303	298	5	5	0	832	1287	162	0	0	335	0
asv33	2	5641	15	1	1294	522	1160	0	647	301	13	4	30	208	1572	27	709	22	15	0	1724	4	2	6640	33	1263	1	4	0	0	1344	0
asv34	6	471	19	1	1028	26	1473	0	1058	395	13	13	6	662	491	1	1522	3	14	295	474	11	1	138	12556	211	0	6	0	677	1081	0
asv35	72	43	115	2785	168	16	38	0	552	245	162	320	169	76	56	302	195	222	661	6478	11	397	2434	9	0	22	294	193	2791	1533	555	0
asv36	235	2314	318	1	574	197	614	0	699	566	831	657	2486	248	1341	2952	517	2116	912	0	674	765	0	2	1	587	76	374	1	0	827	0
asv37	0	9357	1	0	20	549	1309	0	14	4	2	0	10	7	2975	3	8	6	0	0	2457	2	0	2319	0	1667	2	0	0	0	92	1
asv38	1636	50	945	1	939	14	41	4	1617	1502	1947	1883	196	834	90	391	1705	117	2010	3	35	1436	1	2	2	196	2	1688	3	0	1409	4
asv39	373	2383	65	2	88	94	2135	0	210	117	146	73	2775	79	1492	1547	271	6374	159	6	921	74	3	0	4	1042	0	85	0	1	128	0
asv40	565	170	895	1	648	26	108	2	1539	1293	1712	1986	579	573	194	586	1382	648	2920	1	79	1989	0	1	1	82	1	1401	3	0	1209	0
asv41	123	2180	106	2082	279	145	639	0	588	395	245	253	2981	116	1295	3072	313	2155	440	1	677	333	0	2	65	357	718	156	0	0	729	0
asv42	0	4881	10	1	89	448	3868	0	299	70	2	3	33	79	3033	22	422	12	2	0	4173	3	3	406	0	2052	0	1	0	0	333	0
asv43	318	1317	437	0	742	38	264	1	1153	760	1534	1134	1952	359	750	2531	781	1665	1484	1	212	1351	0	2	0	234	0	673	0	0	528	0
asv44	948	79	902	2	764	8	59	2	1840	1375	1805	1543	182	863	130	162	1614	136	2204	0	86	1704	366	4	0	55	0	1268	1	756	1315	1
asv45	2207	34	447	3	643	8	26	1	2015	1462	1781	1546	72	1090	52	75	1431	67	1112	0	14	1774	1214	1	1	22	1	1314	3	682	1074	0
asv46	614	128	880	1	1144	21	49	2	1626	1126	2029	1558	347	531	177	612	1448	133	2665	0	76	1618	1	1	0	115	3	1152	3	2	2028	0
asv47	802	90	936	0	771	11	58	3	1754	1300	1807	1495	139	852	90	164	1616	106	2561	0	59	1750	1	0	0	73	0	1341	3	2	1645	1
asv48	342	471	881	1284	367	45	258	1	875	653	1017	968	922	283	385	997	1136	912	2197	1369	182	1053	628	17	0	167	1	960	1	0	864	2
asv49	170	1151	105	802	349	84	317	0	862	518	334	358	2519	156	1013	2826	509	2284	466	2	311	462	0	2	4	291	819	209	2	0	1083	0
asv50	295	831	377	0	354	98	464	2	991	628	807	928	2086	268	765	1650	623	2201	1313	0	310	917	1	52	0	291	1	563	0	1	873	1
asv51	0	0	0	0	0	1	0	761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	655	0	1	2	0	15688
asv52	2	4405	3	0	2450	184	797	0	1119	350	9	8	26	668	869	18	866	6	12	0	771	11	1	1772	614	594	1	5	0	0	1372	0
asv53	408	937	304	2	794	129	268	0	805	687	918	756	1523	299	683	1895	731	1456	1045	3	382	815	1	10	1	364	0	469	2	2	1214	0
asv54	0	2396	17	1	1682	108	1040	0	1424	533	18	24	31	505	1082	45	2230	35	35	0	815	27	1	1314	664	649	2	24	0	2	2042	1
asv55	87	1545	104	0	124	116	754	0	282	191	195	208	3348	109	1126	1651	312	3221	282	2	527	249	0	186	1	356	1078	162	1	0	248	0
asv56	4541	92	332	6	369	9	137	1	694	653	1129	932	369	841	122	322	933	473	922	8	69	815	7	11	82	77	1019	989	5	2	288	3
asv57	321	71	120	1813	234	9	37	209	359	214	456	291	102	169	62	159	289	168	369	2046	21	345	3699	18	1	35	2	249	1	3909	314	1
asv58	0	5410	4	0	310	325	648	0	196	63	3	1	2	86	1596	7	181	2	4	0	1196	1	2	3306	659	1670	2	1	0	0	416	0
asv59	3	3619	6	1	397	355	932	1	436	130	5	7	7	93	1769	0	398	1	4	888	1564	1	1	2552	1207	1043	0	4	0	0	657	0
asv60	98	548	222	3864	276	73	250	2	665	352	422	410	651	123	547	890	465	513	738	237	189	457	2	308	648	288	1713	301	1	1	581	0
asv61	1	0	0	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1560	0	0	20	0	2569	0	654	0	0	0	0	10595
asv62	3	5569	31	1	596	108	1991	0	478	257	19	36	24	228	649	31	1562	18	45	0	1536	29	2	359	395	637	1	18	1	1	567	0
asv63	847	60	726	0	692	5	35	1	1316	1011	1390	1125	128	673	63	156	1202	87	1941	0	41	1278	2	0	1	45	0	1113	2	1	1074	0
asv64	0	0	0	1580	0	0	0	894	0	0	0	1	0	0	1	0	1	1	0	42	0	0	1310	2	261	0	443	1	4251	305	1	5521
asv65	898	26	680	1	465	3	152	1	1536	1290	1297	1452	64	649	48	45	909	107	1676	1	51	1067	1	1	1	23	0	1305	1	3	756	1
asv66	0	223	3	0	60	12	51	1	27	9	0	3	10	10	75	8	27	7	0	1078	32	2	0	82	12430	39	0	0	0	221	49	0
asv67	5277	363	41	0	64	26	2032	0	304	171	259	214	957	490	341	851	137	1166	141	0	112	128	0	9	2	195	564	183	0	0	66	0
asv68	0	2	0	160	2	1	0	3417	2	1	0	0	0	0	0	1	0	1	0	16	1	0	8221	0	52	0	187	0	0	1207	0	309
asv69	93	1114	224	4566	212	72	596	1	177	135	187	225	443	63	384	305	181	418	438	1	567	205	0	0	0	287	1878	211	0	0	178	1
asv70	1579	117	263	2	413	5	194	6	1179	932	1178	884	251	684	154	268	1087	353	760	1	74	865	4	33	21	65	2	693	4	398	565	2
asv71	4	2772	10	2	551	306	1000	0	355	157	27	11	93	107	934	113	528	57	16	0	923	13	1	2559	0	990	1	13	0	0	592	0
asv72	893	47	266	1320	198	6	39	3	586	528	553	556	133	360	60	169	599	178	445	1404	31	441	463	4	3	41	3	602	2	1791	385	0
asv73	654	62	425	2	344	4	87	4	715	659	1108	960	270	422	62	223	708	476	1198	1	41	1075	1	0	2	40	1	973	2	4	604	2
asv74	22	694	99	0	1620	110	257	0	824	394	157	146	20	241	335	74	956	21	382	0	376	140	1	1047	1020	357	0	77	1	0	1740	0
asv75	528	66	461	2	399	7	19	4	946	672	1118	973	115	473	72	124	786	62	1374	2	49	1145	0	1	0	47	1	867	1	1	793	0
asv76	0	1	0	2	3	0	1	4526	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	2	0	0	0	6545	3	0	0
asv77	0	448	6	0	141	43	148	0	152	58	6	5	8	38	262	19	144	8	5	0	130	2	0	355	8460	182	0	0	0	58	228	0
asv78	135	86	11	2	187	5	442	0	287	166	60	67	12	403	101	24	384	21	32	1370	48	72	0	39	6600	48	0	66	2	0	124	1
asv79	1009	28	196	1148	322	7	31	1	677	435	543	706	109	330	62	109	495	104	677	539	15	539	1045	2	1	31	438	554	1	209	375	0
asv80	871	302	191	0	109	27	485	0	420	386	476	458	1479	279	505	640	346	1983	468	0	174	398	0	0	2	132	2	384	0	0	196	0
asv81	2757	296	37	6	38	40	2350	1	304	190	318	210	624	478	163	552	372	602	169	2	168	140	3	8	3	168	1	179	1	1	81	1
asv82	205	274	207	1	703	31	110	1	834	587	676	604	315	250	260	603	621	291	850	0	109	685	1	81	0	109	1	364	1	0	1109	0
asv83	0	0	0	2704	0	0	0	1111	0	0	0	0	0	0	1	0	0	0	2	133	0	0	74	0	227	0	210	0	1195	2863	0	1340
asv84	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	3	0	2	1052	0	8770
asv85	359	55	352	2	307	5	33	1	742	679	688	847	188	330	61	146	644	177	925	255	17	843	3	0	982	25	2	549	4	0	581	2
asv86	173	309	321	4	245	36	162	1	687	441	556	586	741	157	371	782	514	555	942	2	158	687	1	3	2	87	162	388	1	0	718	2
asv87	1	0	0	0	0	1	0	32	0	3	0	0	1	0	0	2	0	0	0	1078	0	0	0	0	3099	0	1628	0	2	3176	0	769
asv88	299	42	469	3	262	6	42	2	664	495	966	948	175	306	72	195	649	138	1444	0	25	1135	2	2	2	47	2	758	2	0	567	1
asv89	5	419	4	1	243	20	5065	0	192	60	5	0	6	306	358	2	459	20	4	412	590	3	0	425	541	201	0	5	0	0	139	0
asv90	0	0	0	1866	1	1	0	2075	0	1	0	0	0	0	0	0	0	0	0	9	0	0	0	0	55	0	853	0	1	1	0	4596
asv91	367	36	388	0	364	8	18	2	945	684	695	763	100	264	61	107	604	71	998	809	25	698	0	0	0	28	0	586	0	2	768	0
asv92	0	1540	0	2	27	114	1208	1409	27	12	0	1	1	24	695	1	36	2	0	0	711	3	1	980	1976	439	0	1	1	0	60	0
asv93	0	0	1	1600	0	1	1	8	1	0	0	0	1	0	0	0	0	2	1	0	0	0	1103	0	287	0	472	0	3842	1567	0	0
asv94	147	1119	2	0	16	50	412	0	11	8	5	10	1028	5	749	3727	15	453	16	0	455	6	0	1	0	292	129	8	0	0	23	0
asv95	215	17	101	3	184	3	13	0	241	138	197	195	37	80	25	57	273	44	239	2774	8	189	1075	1	0	27	0	194	1	1994	280	0
asv96	824	43	145	4	304	4	47	2	629	383	573	491	91	305	49	128	573	120	507	1265	20	455	13	0	0	17	251	375	2	514	412	2
asv97	254	24	118	0	255	3	20	2	394	165	245	248	44	118	28	71	343	62	345	2352	16	271	463	4	3	36	122	229	0	1732	474	0
asv98	0	3616	3	0	20	152	734	169	15	4	1	1	3	6	938	2	10	1	0	0	823	0	3	728	72	777	0	0	0	0	30	0
asv99	378	16	282	1	367	3	9	0	906	682	725	724	50	312	47	55	510	41	896	71	12	752	0	0	1	26	0	495	1	0	732	0
asv100	68	48	135	0	429	6	15	0	502	204	278	236	34	142	41	59	235	29	407	1141	18	303	0	216	2235	35	0	123	1	79	816	0
asv101	1	2	0	2500	0	0	0	684	0	2	0	0	0	0	0	2	1	2	0	906	0	0	35	1	1117	0	753	0	0	801	0	935
asv102	28	587	199	0	308	78	393	0	226	140	261	199	44	69	116	100	153	30	504	1097	119	232	925	580	680	167	1	135	0	0	330	0
asv103	57	251	27	4323	42	44	174	62	52	36	31	29	275	31	321	313	40	385	32	39	177	19	0	1	0	123	671	29	0	0	56	0
asv104	0	0	0	0	0	0	0	485	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	2281	0	0	4842
asv105	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	1	142	0	0	13	0	5	0	296	0	2707	0	0	4351
asv106	334	91	215	1	201	17	105	0	580	424	442	615	482	191	113	357	405	695	772	1	49	598	0	0	1	58	0	354	0	0	400	0
asv107	415	46	361	1	308	10	22	1	603	574	695	682	120	272	66	231	529	97	838	0	13	567	0	0	0	65	0	562	2	1	349	2
asv108	93	377	21	0	59	9	1250	0	66	80	51	89	1052	52	437	893	237	820	61	0	877	67	0	1	1	452	1	60	1	0	70	0
asv109	289	29	290	1	247	5	14	0	556	448	787	619	64	267	48	61	490	47	834	0	25	750	0	0	0	20	0	504	0	0	477	0
asv110	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	2	280	0	20	0	4345	6	0	2157
asv111	1	3	84	1	7	2	14	0	23	5	4	17	47	1	10	18	23	5	8	0	0	12	73	15	0	1	308	3	2272	527	24	3248
asv112	0	94	2	0	39	0	716	1387	24	9	0	0	1	35	28	1	116	0	0	341	67	0	0	28	3734	48	0	0	0	0	31	0
asv113	2877	46	75	5	93	2	66	1	211	167	522	347	160	403	41	153	237	191	231	3	12	323	10	9	3	12	4	353	4	3	59	2
asv114	242	36	221	1	142	2	22	0	518	483	404	516	46	212	42	65	425	59	636	452	14	448	0	0	602	19	0	415	0	2	478	3
asv115	144	96	377	0	156	6	87	0	381	352	528	555	262	129	120	170	450	229	974	0	45	505	1	10	2	45	0	404	0	1	384	0
asv116	1	953	0	1	0	41	2404	0	1	0	0	0	5	2	441	0	2	7	0	0	988	0	0	621	0	882	0	0	0	0	8	0
asv117	729	28	214	2	216	3	74	0	717	504	470	538	30	425	38	18	423	72	448	1	16	361	0	0	3	15	0	553	0	0	286	1
asv118	1	0	1	1439	1	0	0	0	0	2	0	0	0	0	2	13	3	1	0	255	0	0	0	0	104	0	451	1	28	3	0	3757
asv119	0	0	0	68	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	5834	0	0	1
asv120	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	5769
asv121	202	49	269	3	299	8	29	3	451	346	420	441	94	160	67	81	594	54	626	0	35	411	1	9	0	45	2	376	2	0	499	1
asv122	1938	153	14	0	39	9	514	0	132	84	113	96	269	244	69	429	232	257	89	0	64	57	0	0	2	40	1	96	1	398	50	0
asv123	1	1	0	0	1	0	0	0	0	1	0	1	1	0	3	7	1	13	0	2424	0	0	440	0	1640	0	0	0	0	767	0	0
asv124	1873	70	28	0	62	2	130	0	203	164	259	142	299	275	90	533	317	266	160	0	24	108	1	0	0	24	1	135	0	0	95	0
asv125	808	27	144	4	292	1	42	2	400	205	318	386	83	291	40	87	363	85	411	5	11	301	11	4	1	17	5	367	4	76	360	1
asv126	536	35	108	3	249	4	25	1	301	192	262	281	71	208	35	75	307	123	248	753	18	205	28	0	0	15	43	243	3	478	274	1
asv127	30	597	20	125	65	32	167	0	143	97	56	52	753	28	307	784	80	506	64	0	202	81	0	0	0	79	558	38	0	0	176	0
asv128	803	26	106	0	234	5	56	2	438	212	296	389	91	272	55	118	384	96	411	1	10	295	5	3	2	20	1	361	1	1	292	0
asv129	549	11	86	48	127	4	18	0	284	228	337	312	57	153	20	42	213	43	334	0	9	311	1260	1	0	9	0	306	0	0	194	0
asv130	1703	53	13	2	40	14	1008	0	68	42	31	29	173	165	115	92	91	1050	34	3	25	23	2	0	1	65	1	48	0	0	27	0
asv131	357	173	3	0	12	18	522	0	3	11	3	25	828	15	199	792	6	1470	29	2	98	3	0	1	1	92	107	19	0	0	30	0
asv132	36	52	295	0	497	8	18	0	324	230	440	346	91	100	33	137	211	38	885	2	29	335	0	6	0	32	0	211	0	0	448	0
asv133	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	258	1	2	0	0	0	1	0	0	4454
asv134	0	668	2	0	340	68	162	0	263	93	11	3	8	54	293	15	251	6	5	0	203	5	0	1082	443	200	0	1	0	0	507	0
asv135	311	22	76	924	131	3	28	1	308	196	304	239	83	144	25	46	259	76	233	1	8	200	2	1	665	7	2	184	2	0	195	1
asv136	594	29	115	1	97	0	90	5	274	232	339	405	139	240	57	83	318	295	402	4	11	324	1	4	1	10	3	460	1	0	140	2
asv137	58	286	13	1	37	8	824	0	32	48	46	66	641	35	255	600	155	510	32	1	624	34	0	5	0	266	0	42	0	0	54	0
asv138	0	1	0	1836	0	0	0	564	0	0	0	0	0	0	0	0	1	0	0	958	0	0	107	0	699	0	0	0	124	117	3	147
asv139	449	166	40	0	104	9	303	1	113	107	118	137	413	80	143	269	154	939	134	3	55	96	0	1	1	37	174	105	1	238	113	0
asv140	404	19	67	899	114	4	37	2	231	136	183	222	47	168	17	66	220	39	193	725	8	164	42	3	89	18	20	219	4	0	138	1
asv141	61	42	61	762	98	11	25	131	192	97	149	159	140	29	89	233	144	107	240	1166	34	216	0	0	0	16	0	74	0	0	218	0
asv142	85	340	5	0	36	77	272	0	52	40	30	26	734	43	200	896	32	405	17	0	118	18	0	326	2	90	577	32	0	0	34	0
asv143	0	0	10	1253	0	0	0	939	0	0	0	0	0	0	2	0	0	0	0	277	0	0	973	0	400	0	0	0	591	0	1	34
asv144	125	47	111	0	228	20	35	1	407	257	361	278	98	65	87	289	266	95	399	0	25	357	0	1	0	36	224	142	0	0	424	0
asv145	0	0	0	4121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	253	0	0	0	0	0
asv146	12	80	49	1	600	14	33	0	387	195	107	98	9	117	63	32	455	6	188	821	40	93	1	201	1	97	0	51	0	0	610	1
asv147	0	830	0	0	0	12	867	0	1	0	2	0	1	0	948	0	0	7	0	0	367	0	0	912	0	400	1	1	0	0	2	0
asv148	893	103	37	0	26	13	434	0	143	71	361	106	263	135	80	126	81	896	197	0	50	77	0	1	2	68	47	107	0	0	33	0
asv149	335	112	150	0	51	6	274	2	316	171	254	355	191	96	112	109	148	476	448	0	75	183	0	2	0	65	1	271	0	0	142	0
asv150	641	22	115	1	66	1	60	3	287	255	290	356	188	256	60	78	315	308	259	0	22	259	1	0	1	10	0	330	2	1	132	0
asv151	190	80	154	2	174	7	31	0	333	232	413	253	140	128	83	219	345	70	473	0	55	360	1	0	0	51	0	227	0	1	256	0
asv152	135	40	214	0	108	8	24	0	305	260	348	374	95	122	42	84	310	99	703	1	27	385	0	0	0	13	0	303	1	1	272	1
asv153	67	32	244	0	154	3	47	0	330	223	372	363	197	101	81	86	225	130	637	0	12	401	0	1	0	13	0	316	0	0	210	0
asv154	445	19	116	1	96	2	24	0	289	269	487	452	42	228	25	65	242	97	375	2	8	461	0	0	1	7	2	332	0	0	132	1
asv155	2	873	0	0	33	28	1517	0	25	3	2	0	8	24	345	6	34	7	0	0	361	0	0	653	10	245	0	2	0	0	21	0
asv156	1	1214	5	1	128	76	337	0	82	31	10	8	40	22	464	56	54	31	10	0	328	12	1	727	0	356	1	8	0	0	108	0
asv157	350	22	99	1	172	1	21	1	287	237	274	189	77	138	45	87	245	80	204	0	30	233	80	0	598	17	151	177	1	0	266	1
asv158	4	112	1	0	575	5	263	0	369	81	6	2	2	433	89	4	612	9	3	1	97	3	0	100	904	64	0	2	1	0	331	0
asv159	788	25	128	1	158	6	27	1	307	252	330	202	58	206	61	66	325	69	287	0	20	197	1	0	0	20	14	240	0	0	183	1
asv160	1	0	0	0	0	0	0	3320	0	0	0	0	0	0	0	0	0	0	2	475	0	0	0	0	0	0	83	0	1	0	0	0
asv161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3811
asv162	1500	129	27	0	7	5	540	0	136	66	105	71	128	199	52	109	173	208	57	0	43	57	0	2	1	45	0	121	0	0	29	0
asv163	1765	44	20	4	64	7	53	2	163	144	127	118	91	312	28	100	257	70	85	1	12	55	6	2	3	12	2	148	0	0	47	0
asv164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	3	0	0	472	0	3136	0	0	0
asv165	50	110	63	746	145	8	28	0	164	147	192	157	155	67	93	249	140	98	214	0	48	180	1	0	0	33	258	85	2	0	163	0
asv166	48	228	31	0	102	19	69	0	226	133	88	108	477	47	176	512	144	472	132	1	72	131	0	0	1	59	0	59	0	0	239	0
asv167	421	24	67	58	124	1	21	2	219	126	159	252	43	159	19	80	193	36	191	0	4	145	12	1	0	19	2	182	6	796	145	0
asv168	84	28	128	1	188	2	13	1	279	190	235	181	39	83	36	62	237	16	297	0	18	257	0	35	0	32	0	181	0	568	269	1
asv169	0	1	1	0	0	0	0	3184	1	0	0	0	0	0	0	0	3	0	0	0	0	0	244	0	0	0	0	0	1	0	0	0
asv170	348	21	129	0	139	3	31	0	409	259	266	288	16	245	30	12	240	27	292	0	9	213	1	0	0	8	0	272	1	0	175	0
asv171	249	8	187	1	83	0	15	0	353	275	326	312	25	161	6	10	183	15	335	0	2	286	1	0	0	7	4	444	0	0	113	0
asv172	786	150	12	1	3	11	620	0	39	25	56	81	285	50	139	83	5	599	55	1	130	56	1	1	1	125	0	36	0	0	12	0
asv173	0	0	0	1613	0	0	0	127	0	0	0	0	0	0	0	5	0	1	0	575	0	0	372	1	266	0	333	1	1	51	0	10
asv174	342	19	84	1	127	0	23	0	306	191	303	254	62	151	31	62	249	97	230	40	3	222	11	1	1	3	0	195	0	146	172	0
asv175	0	1082	1	1	35	78	162	0	25	6	2	0	11	3	292	26	15	13	0	0	295	1	0	1022	0	171	0	5	0	0	44	0
asv176	168	67	48	0	88	7	101	1	214	200	175	197	290	65	100	188	159	514	151	0	50	174	0	0	0	42	0	163	0	1	112	1
asv177	0	0	0	3271	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0
asv178	991	57	23	0	17	7	207	1	65	32	138	36	315	74	134	238	139	543	40	0	31	26	0	1	1	43	0	51	0	0	27	0
asv179	0	0	0	77	0	0	0	10	0	0	0	0	2	0	0	0	0	0	0	61	1	0	31	1	137	0	171	0	817	0	1	1915
asv180	31	198	129	0	170	26	94	1	184	123	135	176	24	56	142	31	203	35	265	1	125	148	3	266	186	83	0	127	1	1	213	0
asv181	0	1	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	228	0	0	0	0	0	1709	0	0	1146
asv182	0	206	0	0	41	70	1131	0	89	15	2	0	25	93	287	1	128	1	0	0	183	1	0	542	0	308	0	0	0	0	40	0
asv183	0	40	0	0	3	2	2245	0	4	0	0	0	4	2	110	0	4	2	0	0	156	2	0	465	0	100	0	0	0	0	10	0
asv184	0	0	1	0	1	0	0	3126	3	1	2	1	2	0	0	1	1	0	2	0	0	1	0	0	0	0	0	0	2	0	0	0
asv185	1	248	2	1	206	15	537	0	218	83	4	1	3	182	319	2	422	0	3	0	167	3	0	36	366	121	0	1	0	0	190	0
asv186	167	22	129	0	106	6	8	0	260	203	272	233	91	83	69	151	298	25	308	0	17	248	0	0	0	29	0	216	0	0	180	0
