file001_16S_clip	file002_16S_clip	file003_16S_clip	file004_16S_clip	file005_16S_clip	file006_16S_clip	file007_16S_clip	file008_16S_clip	file009_16S_clip	file010_16S_clip	file011_16S_clip	file012_16S_clip	file013_16S_clip	file014_16S_clip	file015_16S_clip	file016_16S_clip	file017_16S_clip	file018_16S_clip	file019_16S_clip	file020_16S_clip	file021_16S_clip	file022_16S_clip	file023_16S_clip	file024_16S_clip	file025_16S_clip	file026_16S_clip	file027_16S_clip	file028_16S_clip	file029_16S_clip	file030_16S_clip	file031_16S_clip	file032_16S_clip
asv1	5805	16829	8078	5345	10743	5735	10644	824	17874	13345	18977	15260	40687	2624	22969	44581	16974	18675	27344	12	10000	18372	282	173	696	5072	7055	7111	20	7	19862	9
asv2	1761	3797	5088	4	4149	342	3081	82	6514	5155	9713	8344	10572	2408	3042	6924	6657	8500	15687	9	1906	8568	480	370	816	1455	613	6732	10	5	6628	7
asv3	1139	1308	5450	9	3517	93	838	13	6468	4595	6229	6433	1319	2106	925	960	5857	955	12258	2536	571	7083	2146	321	11984	548	868	5456	11	1440	6340	9
asv4	734	271	3464	3264	3924	49	119	1596	3711	2617	3943	3669	499	1143	282	1076	2607	340	10202	13397	110	4000	11866	61	1773	278	2612	2687	2652	4174	5193	3
asv5	204	308	595	22858	618	31	110	5456	1174	685	856	929	555	252	333	773	824	500	1925	28091	116	1108	5543	7	264	123	8223	648	1384	4933	1187	3
asv6	1681	1083	3716	4	2519	86	837	16	6148	4699	6596	6171	3429	2021	1204	2438	5210	3725	11889	6	499	5833	7	9	1	358	2	5506	9	7	5535	6
asv7	258	23	654	2718	787	10	14	856	1422	688	1071	1120	74	275	36	109	724	30	2300	40358	11	1294	9796	24	2757	56	1518	501	11	9026	1783	3
asv8	3241	4379	311	6	854	155	8589	0	1054	1095	1564	1330	10666	470	5177	9420	2822	7938	1112	8	7069	933	1	30	4	3551	135	718	0	1	1467	1
asv9	627	5680	728	8327	1572	752	2089	1	2011	1321	1635	1367	5623	517	4738	7865	1356	5705	2576	481	2162	1521	3	2580	224	1989	4286	824	1	673	2852	2
asv10	8919	475	1385	1054	3101	45	520	13	4785	2505	3803	5017	1174	3294	593	1585	4504	1311	4301	290	193	3780	2047	52	1531	297	1110	4480	23	2167	3369	6
asv11	3	19802	64	3	1318	1660	6811	0	915	355	28	14	58	284	8302	92	888	33	6	0	6960	7	4	4633	614	6743	4	5	0	0	1425	1
asv12	3040	745	2353	2016	2224	102	268	6	5189	3676	4652	3853	1139	1706	981	2684	4498	804	5979	2	351	4591	250	4	2	835	1	3779	7	224	3792	5
asv13	516	1086	1402	3722	1540	125	453	7	3077	1867	2371	2217	1784	642	1192	2404	2351	1185	4650	5855	454	2797	1659	272	17	443	4777	1633	4	0	3248	2
asv14	26	9311	31	4	388	457	14913	0	320	85	39	25	552	151	2934	377	615	721	43	0	7514	29	1	8209	1080	4424	2	20	0	0	417	0
asv15	2319	182	1987	2	1689	34	144	5	3903	3072	5193	4482	475	2013	247	438	3803	355	5310	1664	136	4864	2	9	0	159	3	3630	6	189	3411	4
